Time(s),Input,Output_Displacement,,,,
3.3,1.223,5.907,,,,
3.4,0.657,6.211,,,,
3.5,0.201,6.368,,,,
3.6,0.002,6.332,,,,
3.7,0.125,6.119,,,,
3.8,0.528,5.797,,,,
3.9,1.084,5.468,,,,
4,1.612,5.236,,,,
4.1,1.944,5.174,,,,
4.2,1.972,5.3,,,max = ,6.368
4.3,1.687,5.571,,,,
4.4,1.182,5.899,,,,
4.5,0.618,6.179,,,,
4.6,0.177,6.32,,,,
4.7,1,6.277,,,,
4.8,1.544,6.064,,,,
4.9,1.913,5.872,,,,
5,1.988,5.79,,,,
5.1,1.746,5.839,,,,
5.2,1.263,5.978,,,,
5.3,0.696,6.125,,,,
5.4,0.227,6.196,,,,
5.5,0.006,6.135,,,,
5.6,0.105,5.94,,,,
5.7,0.492,5.659,,,,
5.8,1.042,5.377,,,,
5.9,1.578,5.188,,,,
6,1.929,5.157,,,,
6.1,1.981,5.301,,,,
6.2,1.717,5.583,,,,
6.3,1.223,5.918,,,,
6.4,0.657,6.203,,,,
6.5,0.201,6.348,,,,
6.6,0.002,6.308,,,,
6.7,0.125,6.096,,,,
6.8,0.528,5.778,,,,
6.9,1.084,5.455,,,,
7,1.612,5.229,,,,
7.1,1.944,5.173,,,,
7.2,1.972,5.302,,,,
7.3,1.687,5.575,,,,
7.4,1.182,5.904,,,,
7.5,0.618,6.183,,,,
7.6,0.177,6.323,,,,
7.7,0,6.279,,,,
7.8,0.146,6.066,,,,
7.9,0.565,5.751,,,,
8,1.125,5.438,,,,
8.1,1.645,5.226,,,,
8.2,1.957,5.184,,,,
8.3,1.961,5.325,,,,
8.4,1.656,5.604,,,,
8.5,1.141,5.931,,,,
8.6,0.58,6.201,,,,
8.7,0.154,6.327,,,,
8.8,0,6.268,,,,
8.9,0.168,6.044,,,,
9,0.603,5.726,,,,
9.1,1.166,5.416,,,,
9.2,1.676,5.215,,,,
9.3,1.968,5.187,,,,
9.4,1.949,5.341,,,,
9.5,1.624,5.627,,,,
9.6,1.099,5.954,,,,
9.7,0.542,6.216,,,,
9.8,0.132,6.329,,,,
9.9,0.002,6.257,,,,
10,0.192,6.023,,,,
10.1,0.642,5.702,,,,
10.2,1.208,5.397,,,,
10.3,1.706,5.207,,,,
10.4,1.978,5.193,,,,
10.5,1.935,5.358,,,,
10.6,1.591,5.651,,,,
10.7,1.057,5.976,,,,
10.8,0.505,6.23,,,,
10.9,0.112,6.33,,,,
11,0.005,6.245,,,,
11.1,0.217,6.001,,,,
11.2,0.682,5.678,,,,
11.3,1.248,5.379,,,,
11.4,1.735,5.2,,,,
11.5,1.986,5.199,,,,
11.6,1.919,5.376,,,,
11.7,1.557,5.675,,,,
11.8,1.016,5.998,,,,
11.9,0.469,6.243,,,,
12,0.094,6.33,,,,
12.1,0.01,6.232,,,,
12.2,0.244,5.979,,,,
12.3,0.721,5.654,,,,
12.4,1.289,5.36,,,,
12.5,1.763,5.193,,,,
12.6,1.992,5.206,,,,
12.7,1.902,5.395,,,,
12.8,1.522,5.699,,,,
12.9,0.974,6.02,,,,
13,0.434,6.256,,,,
13.1,0.077,6.329,,,,
13.2,0.016,6.218,,,,
13.3,0.272,5.957,,,,
13.4,0.762,5.63,,,,
13.5,1.328,5.343,,,,
13.6,1.789,5.188,,,,
13.7,1.996,5.214,,,,
13.8,1.883,5.414,,,,
13.9,1.486,5.723,,,,
