Time(s),Input,Output_Displacement,,,,,,,,,,,
50.8,0,6.045,,,,,,,,,,,
50.9,0.141,5.729,,,,,,,,,,,
51,0.513,5.4,,,,,,,,,,,
51.1,1.017,5.132,,,,,,,,,,,
51.2,1.516,4.994,,,,,,,,,,,
51.3,1.876,5.025,,,,,,,,,,,
51.4,2,5.225,,,,,,,,,,,
51.5,1.855,5.55,,,,,,,,,,max = ,6.46
51.6,1.479,5.921,,,,,,,,,,,
51.7,0.975,6.246,,,,,,,,,,,
51.8,0.477,6.443,,,,,,,,,,,
51.9,0.12,6.46,,,,,,,,,,,
52,0,6.295,,,,,,,,,,,
52.1,0.15,5.991,,,,,,,,,,,
52.2,0.528,5.628,,,,,,,,,,,
52.3,1.034,5.303,,,,,,,,,,,
52.4,1.53,5.1,,,,,,,,,,,
52.5,1.884,5.073,,,,,,,,,,,
52.6,1.999,5.228,,,,,,,,,,,
52.7,1.846,5.523,,,,,,,,,,,
52.8,1.464,5.879,,,,,,,,,,,
52.9,0.958,6.199,,,,,,,,,,,
53,0.463,6.398,,,,,,,,,,,
53.1,0.112,6.423,,,,,,,,,,,
53.2,0.001,6.267,,,,,,,,,,,
53.3,0.159,5.972,,,,,,,,,,,
53.4,0.543,5.619,,,,,,,,,,,
53.5,1.05,5.302,,,,,,,,,,,
53.6,1.544,5.107,,,,,,,,,,,
53.7,1.891,5.086,,,,,,,,,,,
53.8,1.999,5.245,,,,,,,,,,,
53.9,1.837,5.541,,,,,,,,,,,
54,1.449,5.894,,,,,,,,,,,
54.1,0.941,6.209,,,,,,,,,,,
54.2,0.449,6.401,,,,,,,,,,,
54.3,0.105,6.419,,,,,,,,,,,
54.4,0.002,6.257,,,,,,,,,,,
54.5,0.168,5.959,,,,,,,,,,,
54.6,0.558,5.606,,,,,,,,,,,
54.7,1.067,5.292,,,,,,,,,,,
54.8,1.558,5.103,,,,,,,,,,,
54.9,1.899,5.088,,,,,,,,,,,
55,1.997,5.253,,,,,,,,,,,
55.1,1.827,5.552,,,,,,,,,,,
55.2,1.434,5.906,,,,,,,,,,,
55.3,0.924,6.218,,,,,,,,,,,
55.4,0.435,6.405,,,,,,,,,,,
55.5,0.097,6.416,,,,,,,,,,,
55.6,0.003,6.249,,,,,,,,,,,
55.7,0.177,5.948,,,,,,,,,,,
55.8,0.573,5.595,,,,,,,,,,,
55.9,1,5.284,,,,,,,,,,,
56,1.501,5.099,,,,,,,,,,,
56.1,1.867,5.081,,,,,,,,,,,
56.2,2,5.237,,,,,,,,,,,
56.3,1.863,5.529,,,,,,,,,,,
56.4,1.494,5.882,,,,,,,,,,,
56.5,0.992,6.202,,,,,,,,,,,
56.6,0.492,6.404,,,,,,,,,,,
56.7,0.128,6.434,,,,,,,,,,,
56.8,0,6.283,,,,,,,,,,,
56.9,0.141,5.991,,,,,,,,,,,
57,0.513,5.637,,,,,,,,,,,
57.1,1.017,5.314,,,,,,,,,,,
57.2,1.516,5.109,,,,,,,,,,,
57.3,1.876,5.078,,,,,,,,,,,
57.4,2,5.228,,,,,,,,,,,
57.5,1.855,5.518,,,,,,,,,,,
57.6,1.479,5.872,,,,,,,,,,,
57.7,0.975,6.193,,,,,,,,,,,
57.8,0.477,6.395,,,,,,,,,,,
57.9,0.12,6.424,,,,,,,,,,,
58,0,6.273,,,,,,,,,,,
58.1,0.15,5.982,,,,,,,,,,,
58.2,0.528,5.629,,,,,,,,,,,
58.3,1.034,5.31,,,,,,,,,,,
58.4,1.53,5.11,,,,,,,,,,,
58.5,1.884,5.084,,,,,,,,,,,
58.6,1.999,5.238,,,,,,,,,,,
58.7,1.846,5.53,,,,,,,,,,,
58.8,1.464,5.883,,,,,,,,,,,
58.9,0.958,6.201,,,,,,,,,,,
59,0.463,6.398,,,,,,,,,,,
59.1,0.112,6.421,,,,,,,,,,,
59.2,0.001,6.265,,,,,,,,,,,
59.3,0.159,5.97,,,,,,,,,,,
59.4,0.543,5.617,,,,,,,,,,,
59.5,1.05,5.301,,,,,,,,,,,
59.6,1.544,5.106,,,,,,,,,,,
59.7,1.891,5.086,,,,,,,,,,,
59.8,1.999,5.245,,,,,,,,,,,
59.9,1.837,5.541,,,,,,,,,,,
60,1.449,5.895,,,,,,,,,,,
60.1,0.941,6.21,,,,,,,,,,,
60.2,0.449,6.402,,,,,,,,,,,
60.3,0.105,6.419,,,,,,,,,,,
60.4,0.002,6.257,,,,,,,,,,,
60.5,0.168,5.959,,,,,,,,,,,
60.6,0.558,5.606,,,,,,,,,,,
60.7,1.067,5.292,,,,,,,,,,,
60.8,1.558,5.103,,,,,,,,,,,
60.9,1.899,5.088,,,,,,,,,,,
61,1.997,5.253,,,,,,,,,,,
61.1,1.827,5.552,,,,,,,,,,,
61.2,1.434,5.906,,,,,,,,,,,
61.3,0.924,6.218,,,,,,,,,,,
61.4,0.435,6.405,,,,,,,,,,,
61.5,0.097,6.416,,,,,,,,,,,
61.6,0.003,6.249,,,,,,,,,,,
61.7,0.177,5.948,,,,,,,,,,,
61.8,0.573,5.595,,,,,,,,,,,
61.9,1.084,5.284,,,,,,,,,,,
