Time(s),Input,Output_Displacement,,,,
3.4,0.827,5.207,,,,
3.5,1.296,5.006,,,,
3.6,1.7,4.97,,,"m,ax = ",6.544
3.7,1.949,5.108,,,,
3.8,1.988,5.388,,,,
3.9,1.808,5.75,,,,
4,1.449,6.112,,,,
4.1,0.991,6.395,,,,
4.2,0.534,6.535,,,,
4.3,0.181,6.503,,,,
4.4,0.009,6.304,,,,
4.5,0.057,5.983,,,,
4.6,0.313,5.612,,,,
4.7,0.721,5.272,,,,
4.8,1.192,5.038,,,,
4.9,1.619,4.962,,,,
5,1.91,5.062,,,,
5.1,1.999,5.315,,,,
5.2,1.867,5.664,,,,
5.3,1.543,6.034,,,,
5.4,1.099,6.341,,,,
5.5,0.633,6.518,,,,
5.6,0.248,6.525,,,,
5.7,0.03,6.362,,,,
5.8,0.026,6.064,,,,
5.9,0.239,5.697,,,,
6,0.619,5.342,,,,
6.1,1.084,5.078,,,,
6.2,1.531,4.964,,,,
6.3,1.86,5.025,,,,
6.4,1.998,5.246,,,,
6.5,1.916,5.58,,,,
6.6,1.63,5.952,,,,
6.7,1.206,6.28,,,,
6.8,0.735,6.492,,,,
6.9,0.324,6.539,,,,
7,0.062,6.413,,,,
7.1,0.007,6.14,,,,
7.2,0.173,5.782,,,,
7.3,0.522,5.417,,,,
7.4,0.976,5.127,,,,
7.5,1.436,4.975,,,,
7.6,1.799,4.996,,,,
7.7,1.986,5.184,,,,
7.8,1.954,5.498,,,,
7.9,1.711,5.868,,,,
8,1.31,6.214,,,,
8.1,0.841,6.457,,,,
8.2,0.407,6.544,,,,
8.3,0.104,6.456,,,,
8.4,0,6.213,,,,
8.5,0.117,5.867,,,,
8.6,0.43,5.497,,,,
8.7,0.869,5.183,,,,
8.8,1.336,4.995,,,,
8.9,1.73,4.975,,,,
9,1.962,5.128,,,,
9.1,1.981,5.418,,,,
9.2,1.782,5.783,,,,
9.3,1.411,6.141,,,,
9.4,0.948,6.414,,,,
9.5,0.497,6.539,,,,
9.6,0.158,6.491,,,,
9.7,0.004,6.279,,,,
9.8,0.072,5.951,,,,
9.9,0.344,5.579,,,,
10,0.762,5.245,,,,
10.1,1.233,5.024,,,,
10.2,1.652,4.964,,,,
10.3,1.926,5.079,,,,
10.4,1.996,5.343,,,,
10.5,1.845,5.698,,,,
10.6,1.507,6.065,,,,
10.7,1.057,6.363,,,,
10.8,0.594,6.526,,,,
10.9,0.221,6.518,,,,
11,0.02,6.34,,,,
11.1,0.037,6.033,,,,
11.2,0.267,5.663,,,,
11.3,0.659,5.314,,,,
11.4,1.126,5.062,,,,
11.5,1.566,4.962,,,,
11.6,1.88,5.038,,,,
11.7,2,5.272,,,,
11.8,1.898,5.613,,,,
11.9,1.597,5.984,,,,
12,1.164,6.305,,,,
12.1,0.695,6.503,,,,
12.2,0.293,6.535,,,,
12.3,0.048,6.394,,,,
12.4,0.013,6.111,,,,
12.5,0.198,5.749,,,,
12.6,0.559,5.388,,,,
12.7,1.019,5.107,,,,
12.8,1.474,4.97,,,,
12.9,1.824,5.006,,,,
13,1.992,5.207,,,,
13.1,1.94,5.53,,,,
13.2,1.68,5.901,,,,
13.3,1.27,6.24,,,,
13.4,0.799,6.471,,,,
13.5,0.374,6.543,,,,
13.6,0.086,6.44,,,,
13.7,0.002,6.185,,,,
13.8,0.138,5.834,,,,
13.9,0.465,5.465,,,,
14,0.911,5.16,,,,
14.1,1.376,4.986,,,,
14.2,1.758,4.982,,,,
14.3,1.972,5.149,,,,
14.4,1.971,5.449,,,,
14.5,1.755,5.817,,,,
14.6,1.372,6.17,,,,
14.7,0.906,6.431,,,,
