Time(s),Input,Output_Displacement,,,
1.8,0.752,6.192,,,
1.9,0.542,6.014,,,
2,0.356,5.823,,,
2.1,0.201,5.628,,,
2.2,0.087,5.44,,max = ,6.619
2.3,0.019,5.268,,,
2.4,0,5.12,,,
2.5,0.032,5.004,,,
2.6,0.113,4.925,,,
2.7,0.238,4.889,,,
2.8,0.402,4.896,,,
2.9,0.596,4.946,,,
3,0.81,5.037,,,
3.1,1.034,5.164,,,
3.2,1.256,5.321,,,
3.3,1.465,5.499,,,
3.4,1.651,5.69,,,
3.5,1.804,5.885,,,
3.6,1.916,6.073,,,
3.7,1.983,6.244,,,
3.8,1.999,6.391,,,
3.9,1.966,6.506,,,
4,1.883,6.583,,,
4.1,1.757,6.618,,,
4.2,1.592,6.609,,,
4.3,1.397,6.557,,,
4.4,1.182,6.465,,,
4.5,0.958,6.337,,,
4.6,0.736,6.179,,,
4.7,0.528,6,,,
4.8,0.343,5.808,,,
4.9,0.191,5.614,,,
5,0.08,5.427,,,
5.1,0.016,5.256,,,
5.2,0.001,5.11,,,
5.3,0.037,4.997,,,
5.4,0.121,4.921,,,
5.5,0.249,4.888,,,
5.6,0.415,4.898,,,
5.7,0.611,4.951,,,
5.8,0.826,5.045,,,
5.9,1.05,5.175,,,
6,1.272,5.333,,,
6.1,1.48,5.513,,,
6.2,1.663,5.705,,,
6.3,1.814,5.899,,,
6.4,1.923,6.086,,,
6.5,1.986,6.256,,,
6.6,1.999,6.401,,,
6.7,1.961,6.513,,,
6.8,1.875,6.587,,,
6.9,1.745,6.619,,,
7,1.578,6.607,,,
7.1,1.381,6.552,,,
7.2,1.165,6.457,,,
7.3,0.941,6.326,,,
7.4,0.72,6.166,,,
7.5,0.513,5.986,,,
7.6,0.33,5.794,,,
7.7,0.181,5.6,,,
7.8,0.074,5.413,,,
7.9,0.013,5.244,,,
8,0.002,5.1,,,
8.1,0.041,4.99,,,
8.2,0.129,4.917,,,
8.3,0.26,4.887,,,
8.4,0.429,4.901,,,
8.5,0.627,4.957,,,
8.6,0.843,5.054,,,
8.7,1.067,5.186,,,
8.8,1.288,5.346,,,
8.9,1.494,5.527,,,
9,1.676,5.719,,,
9.1,1.823,5.914,,,
9.2,1.929,6.099,,,
9.3,1.988,6.268,,,
9.4,1.997,6.411,,,
9.5,1.956,6.52,,,
9.6,1.867,6.591,,,
9.7,1.734,6.619,,,
9.8,1.564,6.604,,,
9.9,1.366,6.546,,,
10,1.149,6.448,,,
10.1,0.924,6.315,,,
10.2,0.704,6.153,,,
10.3,0.498,5.972,,,
10.4,0.318,5.779,,,
10.5,0.172,5.585,,,
10.6,0.068,5.4,,,
10.7,0.011,5.232,,,
10.8,0.003,5.091,,,
10.9,0.046,4.983,,,
11,0.137,4.914,,,
11.1,0.272,4.887,,,
11.2,0.443,4.903,,,
11.3,0.642,4.963,,,
11.4,0.86,5.062,,,
11.5,1.084,5.197,,,
11.6,1.304,5.359,,,
11.7,1.509,5.541,,,
11.8,1.688,5.734,,,
11.9,1.833,5.928,,,
12,1.935,6.113,,,
12.1,1.991,6.28,,,
12.2,1.996,6.42,,,
12.3,1.951,6.527,,,
12.4,1.859,6.594,,,
