Time(s),Input,Output_Displacement,,,,
80.5,1.765,5.361,,,,
80.6,1.999,5.307,,,,
80.7,1.826,5.436,,,,
80.8,1.316,5.693,,,,
80.9,0.677,5.975,,,,
81,0.17,6.167,,,,
81.1,0.002,6.189,,,,
81.2,0.24,6.034,,,,
81.3,0.789,5.764,,,,
81.4,1.423,5.49,,,,
81.5,1.885,5.323,,,,
81.6,1.986,5.331,,,,
81.7,1.685,5.512,,,,
81.8,1.104,5.791,,,,
81.9,0.481,6.054,,,,
82,0.07,6.195,,,,
82.1,0.038,6.156,,,,
82.2,0.398,5.952,,,,
82.3,1.004,5.667,,,,
82.4,1.608,5.417,,,,
82.5,1.965,5.304,,,,
82.6,1.927,5.374,,,,
82.7,1.512,5.599,,,,
82.8,0.888,5.886,,,,
82.9,0.309,6.119,,,,
83,0.013,6.203,,,,
83.1,0.118,6.103,,,,
83.2,0.584,5.861,,,,
83.3,1.219,5.574,,,,
83.4,1.765,5.361,,,,
83.5,1.999,5.307,,,,
83.6,1.825,5.436,,,,
83.7,1.315,5.693,,,,
83.8,0.677,5.975,,,,
83.9,0.17,6.167,,,,
84,0.002,6.189,,,,
84.1,0.241,6.034,,,,
84.2,0.789,5.764,,,,
84.3,1.424,5.49,,,,
84.4,1.886,5.323,,,,
84.5,1.986,5.331,,,,
84.6,1.685,5.512,,,,
84.7,1.104,5.791,,,,
84.8,0.481,6.054,,,,
84.9,0.069,6.195,,,,
85,0.038,6.156,,,,
85.1,0.398,5.952,,,,
85.2,1.004,5.667,,,,
85.3,1.609,5.417,,,,
85.4,1.965,5.304,,,,
85.5,1.927,5.375,,,,
85.6,1.512,5.599,,,,
85.7,0.887,5.886,,,,
85.8,0.309,6.119,,,,
85.9,0.012,6.203,,,,
86,0.119,6.103,,,,
86.1,0.584,5.86,,,,
86.2,1.219,5.574,,,,
86.3,1.765,5.361,,,,
86.4,1.999,5.307,,,,
86.5,1.825,5.436,,,,
86.6,1.315,5.694,,,,
86.7,0.676,5.976,,,,
86.8,0.17,6.167,,,,
86.9,0.002,6.189,,,,
87,0.241,6.034,,,,
87.1,0.79,5.764,,,,
87.2,1.424,5.489,,,,
87.3,1.886,5.322,,,,
87.4,1.986,5.331,,,,
