Time(s),Input,Output_Displacement,,,
2.6,1.823,5.006,,,
2.7,1.988,5.249,,,
2.8,1.956,5.592,,,
2.9,1.734,5.967,,,
3,1.366,6.3,,,
3.1,0.924,6.524,,,
3.2,0.498,6.594,,,
3.3,0.172,6.497,,,
3.4,0.011,6.252,,max =,6.594
3.5,0.046,5.907,,,
3.6,0.272,5.532,,,
3.7,0.642,5.201,,,
3.8,1.084,4.979,,,
3.9,1.509,4.912,,,
4,1.833,5.012,,,
4.1,1.991,5.26,,,
4.2,1.951,5.606,,,
4.3,1.723,5.981,,,
4.4,1.35,6.311,,,
4.5,0.908,6.529,,,
4.6,0.484,6.593,,,
4.7,0.163,6.49,,,
4.8,0.008,6.24,,,
4.9,0.051,5.893,,,
5,0.283,5.518,,,
5.1,0.658,5.19,,,
5.2,1.101,4.974,,,
5.3,1.523,4.913,,,
5.4,1.842,5.019,,,
5.5,1.993,5.272,,,
5.6,1.946,5.62,,,
5.7,1.711,5.995,,,
5.8,1.334,6.321,,,
5.9,0.891,6.535,,,
6,0.469,6.593,,,
6.1,0.154,6.483,,,
6.2,0.006,6.229,,,
6.3,0.057,5.879,,,
6.4,0.295,5.505,,,
6.5,0.674,5.18,,,
6.6,1.117,4.969,,,
6.7,1.538,4.914,,,
6.8,1.851,5.026,,,
6.9,1.995,5.283,,,
7,1.94,5.634,,,
7.1,1.699,6.008,,,
7.2,1.318,6.332,,,
7.3,0.874,6.54,,,
7.4,0.455,6.591,,,
7.5,0.145,6.476,,,
7.6,0.004,6.217,,,
7.7,0.062,5.865,,,
7.8,0.307,5.491,,,
7.9,0.69,5.169,,,
8,1.134,4.964,,,
8.1,1.552,4.915,,,
8.2,1.86,5.034,,,
8.3,1.996,5.295,,,
8.4,1.935,5.648,,,
8.5,1.687,6.022,,,
8.6,1.302,6.342,,,
8.7,0.858,6.545,,,
8.8,0.441,6.59,,,
8.9,0.136,6.469,,,
9,0.003,6.205,,,
9.1,0.068,5.851,,,
9.2,0.319,5.478,,,
9.3,0.706,5.159,,,
9.4,1.151,4.959,,,
9.5,1.566,4.917,,,
9.6,1.868,5.041,,,
9.7,1.998,5.307,,,
9.8,1.928,5.662,,,
9.9,1.674,6.035,,,
10,1.286,6.352,,,
10.1,0.841,6.549,,,
10.2,0.427,6.589,,,
10.3,0.128,6.461,,,
10.4,0.002,6.193,,,
10.5,0.075,5.837,,,
10.6,0.332,5.464,,,
10.7,0.722,5.149,,,
10.8,1.167,4.954,,,
10.9,1.58,4.918,,,
11,1.876,5.049,,,
11.1,1.999,5.319,,,
11.2,1.922,5.676,,,
11.3,1.662,6.048,,,
11.4,1.27,6.362,,,
11.5,0.824,6.554,,,
11.6,0.414,6.587,,,
11.7,0.12,6.453,,,
11.8,0.001,6.181,,,
11.9,0.081,5.823,,,
12,0.344,5.451,,,
12.1,0.738,5.139,,,
12.2,1.184,4.95,,,
12.3,1.593,4.92,,,
12.4,1.884,5.056,,,
12.5,1.999,5.331,,,
12.6,1.915,5.69,,,
12.7,1.649,6.061,,,
12.8,1.254,6.371,,,
12.9,0.808,6.558,,,
13,0.4,6.585,,,
13.1,0.112,6.446,,,
13.2,0,6.169,,,
13.3,0.088,5.809,,,
13.4,0.357,5.438,,,
13.5,0.754,5.13,,,
13.6,1.2,4.946,,,
13.7,1.607,4.922,,,
13.8,1.892,5.065,,,
13.9,2,5.344,,,
14,1.909,5.704,,,
14.1,1.636,6.075,,,
