Time(s),Input,Output_Displacement
88.5999999999992,1.814,5.183
88.6999999999992,1.999,5.223
88.7999999999992,1.863,5.434
88.8999999999992,1.449,5.747
88.9999999999992,0.890,6.062
89.0999999999992,0.368,6.278
89.1999999999992,0.048,6.325
89.2999999999992,0.035,6.188
89.3999999999992,0.332,5.911
89.4999999999992,0.844,5.584
89.5999999999992,1.406,5.311
89.6999999999992,1.838,5.180
89.7999999999992,2.000,5.234
89.8999999999992,1.841,5.454
89.9999999999992,1.411,5.771
90.0999999999992,0.849,6.082
90.1999999999992,0.336,6.287
90.2999999999991,0.036,6.321
90.3999999999991,0.046,6.171
90.4999999999991,0.363,5.888
90.5999999999991,0.885,5.561
90.6999999999991,1.444,5.295
90.7999999999991,1.860,5.177
90.8999999999991,1.999,5.245
90.9999999999991,1.817,5.475
91.0999999999991,1.372,5.795
91.1999999999991,0.808,6.102
91.2999999999991,0.305,6.296
91.3999999999991,0.026,6.316
91.4999999999991,0.060,6.154
91.5999999999991,0.396,5.864
91.6999999999991,0.927,5.538
91.7999999999991,1.481,5.281
91.8999999999991,1.880,5.176
91.999999999999,1.997,5.256
92.099999999999,1.792,5.497
92.199999999999,1.333,5.819
92.299999999999,0.767,6.121
92.399999999999,0.276,6.304
92.499999999999,0.017,6.310
92.599999999999,0.075,6.137
92.699999999999,0.430,5.840
92.799999999999,0.969,5.516
92.899999999999,1.517,5.268
92.999999999999,1.899,5.176
93.099999999999,1.992,5.269
93.199999999999,1.766,5.518
93.299999999999,1.294,5.843
93.399999999999,0.727,6.139
93.499999999999,0.247,6.310
93.599999999999,0.010,6.303
93.699999999999,0.092,6.118
93.7999999999989,0.465,5.816
93.8999999999989,1.010,5.494
93.9999999999989,1.553,5.255
94.0999999999989,1.917,5.176
94.1999999999989,1.986,5.283
94.2999999999989,1.739,5.541
94.3999999999989,1.253,5.867
94.4999999999989,0.687,6.156
94.5999999999989,0.221,6.316
94.6999999999989,0.005,6.295
94.7999999999989,0.110,6.099
94.8999999999989,0.501,5.792
94.9999999999989,1.052,5.473
95.0999999999989,1.587,5.243
95.1999999999989,1.933,5.178
95.2999999999989,1.979,5.297
95.3999999999989,1.710,5.563
95.4999999999988,1.213,5.890
95.5999999999988,0.647,6.173
95.6999999999988,0.195,6.321
95.7999999999988,0.002,6.286
95.8999999999988,0.130,6.080
95.9999999999988,0.537,5.768
96.0999999999988,1.094,5.452
96.1999999999988,1.620,5.232
96.2999999999988,1.947,5.180
96.3999999999988,1.969,5.312
96.4999999999988,1.680,5.586
96.5999999999988,1.172,5.914
96.6999999999988,0.608,6.190
96.7999999999988,0.171,6.325
96.8999999999988,0.000,6.276
96.9999999999988,0.151,6.059
97.0999999999988,0.575,5.744
97.1999999999988,1.135,5.431
97.2999999999987,1.652,5.222
97.3999999999987,1.960,5.184
97.4999999999987,1.958,5.328
97.5999999999987,1.649,5.610
97.6999999999987,1.130,5.937
97.7999999999987,0.570,6.205
97.8999999999987,0.148,6.328
97.9999999999987,0.000,6.266
98.0999999999987,0.174,6.039
98.1999999999987,0.613,5.720
98.2999999999987,1.177,5.412
98.3999999999987,1.684,5.213
98.4999999999987,1.971,5.188
98.5999999999987,1.945,5.345
98.6999999999987,1.616,5.633
98.7999999999987,1.089,5.960
98.8999999999987,0.533,6.220
98.9999999999986,0.127,6.330
99.0999999999986,0.002,6.254
99.1999999999986,0.198,6.017
99.2999999999986,0.652,5.696
99.3999999999986,1.218,5.392
99.4999999999986,1.713,5.205
99.5999999999986,1.980,5.194
99.6999999999986,1.931,5.363
99.7999999999986,1.583,5.657
99.8999999999986,1.047,5.982
99.9999999999986,0.496,6.233
100.099999999999,0.107,6.330
100.199999999999,0.006,6.242
100.299999999999,0.224,5.996
100.399999999999,0.691,5.672
100.499999999999,1.258,5.374
100.599999999999,1.742,5.198
100.699999999999,1.987,5.201
100.799999999999,1.915,5.381
