Time(s),Input,Output_Displacement,,,,
15.7,0.002,5.866,,,,
15.8,0.102,5.503,,,,
15.9,0.344,5.178,,,,
16,0.69,4.945,,,,
16.1,1.085,4.839,,,,
16.2,1.466,4.877,,,,
16.3,1.774,5.054,,,,
16.4,1.959,5.341,,,,
16.5,1.993,5.693,,,max =,6.671
16.6,1.871,6.055,,,,
16.7,1.61,6.368,,,,
16.8,1.254,6.585,,,,
16.9,0.857,6.67,,,,
17,0.483,6.611,,,,
17.1,0.19,6.416,,,,
17.2,0.026,6.116,,,,
17.3,0.015,5.759,,,,
17.4,0.159,5.401,,,,
17.5,0.437,5.099,,,,
17.6,0.803,4.9,,,,
17.7,1.2,4.835,,,,
17.8,1.566,4.916,,,,
17.9,1.842,5.128,,,,
18,1.986,5.44,,,,
18.1,1.973,5.8,,,,
18.2,1.807,6.154,,,,
18.3,1.514,6.444,,,,
18.4,1.139,6.625,,,,
18.5,0.743,6.668,,,,
18.6,0.387,6.567,,,,
18.7,0.128,6.337,,,,
18.8,0.006,6.016,,,,
18.9,0.042,5.652,,,,
19,0.228,5.305,,,,
19.1,0.537,5.028,,,,
19.2,0.919,4.866,,,,
19.3,1.313,4.844,,,,
19.4,1.658,4.965,,,,
19.5,1.899,5.211,,,,
19.6,1.999,5.542,,,,
19.7,1.94,5.907,,,,
19.8,1.733,6.247,,,,
19.9,1.41,6.509,,,,
20,1.023,6.652,,,,
20.1,0.632,6.653,,,,
20.2,0.299,6.512,,,,
20.3,0.077,6.251,,,,
20.4,0,5.911,,,,
20.5,0.081,5.547,,,,
20.6,0.308,5.215,,,,
20.7,0.643,4.968,,,,
20.8,1.035,4.844,,,,
20.9,1.422,4.865,,,,
21,1.742,5.025,,,,
21.1,1.944,5.301,,,,
21.2,1.998,5.648,,,,
21.3,1.894,6.011,,,,
21.4,1.649,6.334,,,,
21.5,1.301,6.565,,,,
21.6,0.906,6.668,,,,
21.7,0.526,6.626,,,,
21.8,0.221,6.447,,,,
21.9,0.038,6.158,,,,
22,0.008,5.805,,,,
22.1,0.134,5.444,,,,
22.2,0.397,5.132,,,,
22.3,0.755,4.918,,,,
22.4,1.152,4.835,,,,
22.5,1.525,4.898,,,,
22.6,1.815,5.096,,,,
22.7,1.976,5.397,,,,
22.8,1.984,5.755,,,,
22.9,1.836,6.112,,,,
23,1.556,6.413,,,,
23.1,1.188,6.609,,,,
23.2,0.791,6.671,,,,
23.3,0.427,6.587,,,,
23.4,0.153,6.372,,,,
23.5,0.013,6.059,,,,
23.6,0.029,5.698,,,,
23.7,0.198,5.345,,,,
23.8,0.494,5.057,,,,
23.9,0.869,4.879,,,,
24,1.266,4.839,,,,
24.1,1.62,4.943,,,,
24.2,1.877,5.175,,,,
24.3,1.995,5.498,,,,
24.4,1.956,5.862,,,,
24.5,1.766,6.208,,,,
24.6,1.455,6.483,,,,
24.7,1.072,6.642,,,,
24.8,0.678,6.661,,,,
24.9,0.335,6.537,,,,
25,0.097,6.289,,,,
25.1,0.001,5.956,,,,
25.2,0.063,5.591,,,,
25.3,0.273,5.252,,,,
25.4,0.598,4.992,,,,
25.5,0.986,4.852,,,,
25.6,1.376,4.854,,,,
25.7,1.707,4.999,,,,
25.8,1.927,5.262,,,,
25.9,2,5.603,,,,
26,1.915,5.967,,,,
26.1,1.686,6.298,,,,
