Time(s),Input,Output_Displacement,,,,,,
123.8,0.988,5.774,,,,,,
123.9,0.347,6.016,,,,,,
124,0.013,6.135,,,,,,
124.1,0.143,6.074,,,,,,
124.2,0.676,5.862,,,,,,
124.3,1.362,5.599,,,,,,
124.4,1.877,5.408,,,,,,
124.5,1.98,5.38,,,,,,
124.6,1.622,5.527,,,,,,
124.7,0.972,5.78,,,,,,
124.8,0.334,6.021,,,,,,
124.9,0.01,6.135,,,,,,
125,0.151,6.07,,,,,,
125.1,0.692,5.856,,,,,,
125.2,1.377,5.593,,,,,,
125.3,1.885,5.406,,,,,,
125.4,1.977,5.381,,,,,,
125.5,1.609,5.532,,,,,,
125.6,0.955,5.786,,,,,,
125.7,0.322,6.025,,,,,,
125.8,0.008,6.136,,,,,,
125.9,0.16,6.067,,,,,,
126,0.708,5.85,,,,,,
126.1,1.393,5.587,,,,,,
126.2,1.893,5.403,,,,,,
126.3,1.973,5.383,,,,,,
126.4,1.596,5.537,,,,,,
126.5,0.938,5.793,,,,,,
126.6,0.31,6.03,,,,,,
126.7,0.006,6.136,,,,,,
126.8,0.17,6.063,,,,,,
126.9,0.724,5.843,,,,,,
127,1.408,5.582,,,,,,
127.1,1.9,5.4,,,,,,
127.2,1.969,5.385,,,,,,
127.3,1.582,5.543,,,,,,
127.4,0.921,5.799,,,,,,
127.5,0.298,6.034,,,,,,
127.6,0.004,6.137,,,,,,
127.7,0.179,6.059,,,,,,
127.8,0.74,5.837,,,,,,
127.9,1.423,5.576,,,,,,
128,1.907,5.398,,,,,,
128.1,1.965,5.387,,,,,,
128.2,1.568,5.548,,,,,,
128.3,0.905,5.806,,,,,,
128.4,0.286,6.039,,,,,,
128.5,0.003,6.137,,,,,,
128.6,0.189,6.055,,,,,,
128.7,0.756,5.831,,,,,,
128.8,1.439,5.57,,,,,,
128.9,1.914,5.395,,,,,,
129,1.96,5.389,,,,,,
129.1,1.554,5.554,,,,,,
129.2,0.888,5.812,,,,,,
129.3,0.274,6.043,,,,,,
129.4,0.002,6.137,,,,,,
129.5,0.199,6.051,,,,,,
129.6,0.773,5.825,,,,,,
129.7,1.454,5.564,,,,,,
129.8,1.921,5.393,,,,,,
129.9,1.955,5.391,,,,,,
130,1.54,5.559,,,,,,
130.1,0.871,5.818,,,,,,
130.2,0.263,6.047,,,,,,
130.3,0.001,6.137,,,,,,
130.4,0.209,6.047,,,,,,
130.5,0.789,5.818,,,,,,
130.6,1.469,5.559,,,,,,
130.7,1.927,5.391,,,,,,
130.8,1.95,5.393,,,,,,
130.9,1.526,5.565,,,,,,
131,0.854,5.825,,,,,,
131.1,0.251,6.051,,,,,,
131.2,0,6.137,,,,,,
131.3,0.219,6.043,,,,,,
131.4,0.806,5.812,,,,,,
131.5,1.483,5.553,,,,,,
131.6,1.934,5.389,,,,,,
131.7,1.945,5.396,,,,,,
131.8,1.512,5.57,,,,,,
131.9,0.838,5.831,,,,,,
132,0.24,6.055,,,,,,
132.1,0,6.137,,,,,,
132.2,0.23,6.038,,,,,,
132.3,0.822,5.805,,,,,,
132.4,1.498,5.548,,,,,,
132.5,1.94,5.387,,,,,,
132.6,1.939,5.398,,,,,,
132.7,1.497,5.576,,,,,,
132.8,0.821,5.837,,,,,,
132.9,0.229,6.059,,,,,,
133,0,6.137,,,,,,
133.1,0.241,6.034,,,,,,
133.2,0.839,5.799,,,,,,
133.3,1.512,5.542,,,,,,
133.4,1.945,5.385,,,,,,
133.5,1.933,5.4,,,,,,
133.6,1.483,5.582,,,,,,
133.7,0.805,5.844,,,,,,
133.8,0.219,6.063,,,,,,
133.9,0,6.136,,,,,,
134,0.252,6.03,,,,,,
134.1,0.855,5.793,,,,,,
134.2,1.527,5.537,,,,,,
134.3,1.951,5.383,,,,,,
134.4,1.927,5.403,,,,,,
134.5,1.468,5.588,,,,,,
134.6,0.788,5.85,,,,,,
134.7,0.208,6.067,,,,,,
134.8,0.001,6.136,,,,,,
134.9,0.263,6.025,,,,,,
135,0.872,5.786,,,,,,
135.1,1.541,5.532,,,,,,
135.2,1.956,5.381,,,,,,
135.3,1.921,5.406,,,,,,
135.4,1.453,5.594,,,,,,
135.5,0.772,5.856,,,,,,
135.6,0.198,6.07,,,,,,
135.7,0.002,6.135,,,,,,
135.8,0.275,6.02,,,,,,
135.9,0.889,5.78,,,,,,
136,1.555,5.526,,,,,,
136.1,1.96,5.38,,,,,,
136.2,1.914,5.409,,,,,,
136.3,1.438,5.599,,,,,,
136.4,0.756,5.862,,,,,,
136.5,0.188,6.074,,,,,,
136.6,0.003,6.135,,,,,,
136.7,0.286,6.016,,,,,,
136.8,0.905,5.773,,,,,,
136.9,1.569,5.521,,,,,,
137,1.965,5.378,,,,,,
137.1,1.907,5.412,,,,,,
137.2,1.423,5.605,,,,,,
137.3,0.739,5.869,,,,,,
137.4,0.179,6.078,,,,,,
137.5,0.004,6.134,,,,,,
137.6,0.298,6.011,,,,,,
137.7,0.922,5.767,,,,,,
137.8,1.583,5.516,,,,,,
137.9,1.969,5.377,,,,,,
138,1.9,5.415,,,,,,
138.1,1.407,5.611,,,,,,
138.2,0.723,5.875,,,,,,
138.3,0.169,6.081,,,,,,
138.4,0.006,6.133,,,,,,
138.5,0.31,6.006,,,,,,
138.6,0.939,5.76,,,,,,
138.7,1.596,5.511,,,,,,
138.8,1.973,5.376,,,,,,
138.9,1.892,5.418,,,,,,
139,1.392,5.617,,,,,,
139.1,0.707,5.881,,,,,,
139.2,0.16,6.084,,,,,,
139.3,0.008,6.132,,,,,,
139.4,0.323,6.001,,,,,,
139.5,0.956,5.754,,,,,,
139.6,1.61,5.506,,,,,,
139.7,1.977,5.374,,,,,,
139.8,1.885,5.421,,,,,,
139.9,1.376,5.623,,,,,,
140,0.691,5.887,,,,,,
140.1,0.151,6.087,,,,,,
140.2,0.01,6.131,,,,,,
140.3,0.335,5.996,,,,,,
140.4,0.973,5.747,,,,,,
140.5,1.623,5.501,,,,,,
140.6,1.98,5.373,,,,,,
140.7,1.877,5.424,,,,,,
