Time(s),Input,Output_Displacement,,,
1.5,0.036,5.745,,,
1.6,0.001,5.444,,,
1.7,0.071,5.176,,max = ,6.695
1.8,0.238,4.968,,,
1.9,0.485,4.842,,,
2,0.785,4.812,,,
2.1,1.108,4.881,,,
2.2,1.42,5.041,,,
2.3,1.688,5.276,,,
2.4,1.884,5.561,,,
2.5,1.987,5.865,,,
2.6,1.987,6.158,,,
2.7,1.883,6.409,,,
2.8,1.687,6.591,,,
2.9,1.42,6.685,,,
3,1.108,6.681,,,
3.1,0.785,6.581,,,
3.2,0.484,6.393,,,
3.3,0.238,6.139,,,
3.4,0.071,5.844,,,
3.5,0.001,5.54,,,
3.6,0.037,5.258,,,
3.7,0.173,5.028,,,
3.8,0.395,4.874,,,
3.9,0.681,4.811,,,
4,1,4.848,,,
4.1,1.32,4.979,,,
4.2,1.606,5.192,,,
4.3,1.828,5.463,,,
4.4,1.964,5.764,,,
4.5,1.999,6.064,,,
4.6,1.929,6.332,,,
4.7,1.762,6.539,,,
4.8,1.515,6.664,,,
4.9,1.214,6.693,,,
5,0.891,6.624,,,
5.1,0.58,6.464,,,
5.2,0.312,6.229,,,
5.3,0.116,5.945,,,
5.4,0.013,5.64,,,
5.5,0.013,5.347,,,
5.6,0.117,5.097,,,
5.7,0.313,4.915,,,
5.8,0.581,4.821,,,
5.9,0.892,4.825,,,
6,1.216,4.926,,,
6.1,1.516,5.113,,,
6.2,1.763,5.367,,,
6.3,1.929,5.662,,,
6.4,1.999,5.966,,,
6.5,1.963,6.248,,,
6.6,1.827,6.478,,,
6.7,1.605,6.633,,,
6.8,1.319,6.695,,,
6.9,0.999,6.658,,,
7,0.68,6.527,,,
7.1,0.394,6.314,,,
7.2,0.172,6.043,,,
7.3,0.036,5.742,,,
7.4,0.002,5.441,,,
7.5,0.071,5.174,,,
7.6,0.238,4.967,,,
7.7,0.485,4.842,,,
7.8,0.786,4.813,,,
7.9,1.109,4.882,,,
8,1.421,5.042,,,
8.1,1.688,5.277,,,
8.2,1.884,5.561,,,
8.3,1.987,5.866,,,
8.4,1.987,6.159,,,
8.5,1.883,6.409,,,
8.6,1.687,6.591,,,
8.7,1.419,6.685,,,
8.8,1.107,6.681,,,
8.9,0.784,6.58,,,
9,0.484,6.393,,,
9.1,0.237,6.138,,,
9.2,0.071,5.844,,,
9.3,0.001,5.539,,,
9.4,0.037,5.257,,,
9.5,0.173,5.027,,,
9.6,0.396,4.873,,,
9.7,0.682,4.811,,,
9.8,1.001,4.848,,,
9.9,1.32,4.979,,,
10,1.606,5.192,,,
10.1,1.828,5.463,,,
10.2,1.964,5.764,,,
10.3,1.998,6.065,,,
10.4,1.929,6.332,,,
10.5,1.762,6.539,,,
10.6,1.515,6.664,,,
10.7,1.214,6.693,,,
10.8,0.891,6.624,,,
10.9,0.579,6.464,,,
11,0.312,6.229,,,
11.1,0.116,5.944,,,
11.2,0.013,5.64,,,
11.3,0.013,5.347,,,
11.4,0.117,5.097,,,
11.5,0.313,4.915,,,
11.6,0.581,4.821,,,
11.7,0.893,4.825,,,
11.8,1.216,4.926,,,
11.9,1.516,5.113,,,
12,1.763,5.368,,,
12.1,1.929,5.663,,,
12.2,1.999,5.967,,,
12.3,1.963,6.249,,,
12.4,1.827,6.479,,,
12.5,1.604,6.633,,,
12.6,1.318,6.695,,,
12.7,0.999,6.658,,,
12.8,0.68,6.526,,,
12.9,0.394,6.314,,,
13,0.172,6.043,,,
13.1,0.036,5.741,,,
13.2,0.002,5.441,,,
13.3,0.071,5.173,,,
13.4,0.239,4.967,,,
13.5,0.485,4.842,,,
13.6,0.786,4.813,,,
13.7,1.109,4.882,,,
13.8,1.421,5.042,,,
13.9,1.689,5.277,,,
14,1.884,5.562,,,
14.1,1.987,5.867,,,
14.2,1.987,6.159,,,
14.3,1.883,6.41,,,
14.4,1.687,6.591,,,
14.5,1.419,6.685,,,
14.6,1.107,6.681,,,
14.7,0.784,6.58,,,
14.8,0.483,6.392,,,
14.9,0.237,6.138,,,
15,0.071,5.843,,,
15.1,0.001,5.539,,,
15.2,0.037,5.257,,,
15.3,0.173,5.027,,,
15.4,0.396,4.873,,,
15.5,0.682,4.811,,,
15.6,1.001,4.848,,,
15.7,1.321,4.98,,,
15.8,1.606,5.192,,,
15.9,1.828,5.463,,,
16,1.964,5.765,,,
16.1,1.998,6.065,,,
16.2,1.928,6.333,,,
16.3,1.761,6.54,,,
16.4,1.514,6.664,,,
16.5,1.214,6.693,,,
16.6,0.89,6.624,,,
16.7,0.579,6.463,,,
16.8,0.311,6.229,,,
16.9,0.116,5.944,,,
17,0.013,5.639,,,
17.1,0.013,5.346,,,
17.2,0.117,5.096,,,
17.3,0.313,4.915,,,
17.4,0.581,4.821,,,
17.5,0.893,4.825,,,
17.6,1.216,4.926,,,
17.7,1.517,5.114,,,
