Time(s),Input,Output_Displacement,,,,
37.6,0.76,6.201,,,,
37.7,0.288,6.365,,,,
37.8,0.026,6.347,,,,
37.9,0.051,6.154,,,,
38,0.356,5.842,,,,
38.1,0.851,5.505,,,,
38.2,1.39,5.24,,,,
38.3,1.814,5.128,,,,
38.4,1.998,5.2,,,,
38.5,1.887,5.435,,,,
38.6,1.515,5.765,,,,
38.7,0.991,6.091,,,,
38.8,0.47,6.317,,,,
38.9,0.105,6.377,,,max =,6.381
39,0.004,6.253,,,,
39.1,0.197,5.981,,,,
39.2,0.627,5.642,,,,
39.3,1.166,5.335,,,,
39.4,1.657,5.152,,,,
39.5,1.954,5.146,,,,
39.6,1.97,5.319,,,,
39.7,1.699,5.62,,,,
39.8,1.222,5.96,,,,
39.9,0.68,6.239,,,,
40,0.232,6.375,,,,
40.1,0.011,6.328,,,,
40.2,0.081,6.11,,,,
40.3,0.422,5.788,,,,
40.4,0.934,5.455,,,,
40.5,1.465,5.21,,,,
40.6,1.859,5.125,,,,
40.7,2,5.226,,,,
40.8,1.846,5.481,,,,
40.9,1.442,5.817,,,,
41,0.908,6.134,,,,
41.1,0.401,6.339,,,,
41.2,0.071,6.371,,,,
41.3,0.015,6.22,,,,
41.4,0.249,5.932,,,,
41.5,0.705,5.591,,,,
41.6,1.248,5.298,,,,
41.7,1.718,5.139,,,,
41.8,1.976,5.161,,,,
41.9,1.946,5.358,,,,
42,1.637,5.671,,,,
42.1,1.14,6.009,,,,
42.2,0.602,6.271,,,,
42.3,0.181,6.38,,,,
42.4,0.002,6.304,,,,
42.5,0.117,6.066,,,,
42.6,0.492,5.735,,,,
42.7,1.018,5.41,,,,
42.8,1.538,5.186,,,,
42.9,1.899,5.129,,,,
43,1.995,5.256,,,,
43.1,1.798,5.53,,,,
43.2,1.365,5.869,,,,
43.3,0.825,6.175,,,,
43.4,0.336,6.356,,,,
43.5,0.043,6.359,,,,
43.6,0.032,6.183,,,,
43.7,0.307,5.881,,,,
43.8,0.786,5.541,,,,
43.9,1.328,5.263,,,,
44,1.774,5.13,,,,
44.1,1.991,5.181,,,,
44.2,1.916,5.4,,,,
44.3,1.57,5.724,,,,
44.4,1.057,6.056,,,,
44.5,0.527,6.299,,,,
44.6,0.136,6.381,,,,
44.7,0,6.277,,,,
44.8,0.159,6.02,,,,
44.9,0.566,5.683,,,,
45,1.101,5.367,,,,
45.1,1.606,5.165,,,,
45.2,1.933,5.136,,,,
45.3,1.984,5.29,,,,
45.4,1.745,5.579,,,,
45.5,1.286,5.92,,,,
45.6,0.743,6.212,,,,
45.7,0.276,6.368,,,,
45.8,0.022,6.343,,,,
45.9,0.057,6.144,,,,
46,0.37,5.829,,,,
46.1,0.869,5.492,,,,
46.2,1.406,5.232,,,,
46.3,1.824,5.126,,,,
46.4,1.999,5.204,,,,
46.5,1.879,5.445,,,,
46.6,1.5,5.776,,,,
46.7,0.973,6.101,,,,
46.8,0.455,6.323,,,,
46.9,0.097,6.377,,,,
47,0.006,6.247,,,,
47.1,0.207,5.971,,,,
47.2,0.643,5.631,,,,
47.3,1.184,5.327,,,,
47.4,1.671,5.149,,,,
47.5,1.959,5.149,,,,
47.6,1.965,5.327,,,,
47.7,1.686,5.63,,,,
47.8,1.205,5.97,,,,
47.9,0.663,6.246,,,,
