Time(s),Input(v),Output(v),Output(m)
68.1000000000004,5.000,10.000,3893.893
68.2000000000004,5.000,10.000,3899.855
68.3000000000004,5.000,10.000,3905.817
68.4000000000004,5.000,10.000,3911.779
68.5000000000004,5.000,10.000,3917.741
68.6000000000004,5.000,10.000,3923.703
68.7000000000004,5.000,10.000,3929.665
68.8000000000004,5.000,10.000,3935.627
68.9000000000004,5.000,10.000,3941.589
69.0000000000004,5.000,10.000,3947.551
69.1000000000003,5.000,10.000,3953.513
69.2000000000003,5.000,10.000,3959.475
69.3000000000003,5.000,10.000,3965.437
69.4000000000003,5.000,10.000,3971.399
69.5000000000003,5.000,10.000,3977.361
69.6000000000003,5.000,10.000,3983.323
69.7000000000003,5.000,10.000,3989.285
69.8000000000003,5.000,10.000,3995.247
69.9000000000003,5.000,10.000,4001.209
70.0000000000003,5.000,10.000,4007.171
70.1000000000003,5.000,10.000,4013.133
