Time(s),Input(v),Output(v),Output(m),Velocity
13.3,2.485,0,0,
13.4,2.476,0,0,0
13.5,2.485,0,0,0
13.6,2.476,0,0,0
13.7,2.476,0,0,0
13.8,2.476,0,0,0
13.9,2.476,0,0,0
14,2.476,0,0,0
14.1,2.476,0,0,0
14.2,2.476,0,0,0
14.3,2.476,0,0,0
14.4,2.476,0,0,0
14.5,2.476,0,0,0
14.6,2.485,0,0,0
14.7,2.476,0,0,0
14.8,2.476,0,0,0
14.9,2.485,0,0,0
15,2.476,0,0,0
15.1,2.476,0,0,0
15.2,2.476,0,0,0
15.3,2.476,0,0,0
15.4,2.476,0,0,0
15.5,2.476,0,0,0
15.6,2.476,0,0,0
15.7,2.476,0,0,0
15.8,2.476,0,0,0
15.9,2.476,0,0,0
16,2.476,0,0,0
16.1,2.476,0,0,0
16.2,2.476,0,0,0
16.3,2.476,0,0,0
16.4,2.476,0,0,0
16.5,2.436,0,0,0
16.6,2.387,0,0,0
16.7,2.387,0,0,0
16.8,2.928,0,0,0
16.9,5,0.012,0.019,0.19
17,5,0.093,0.145,1.26
17.1,5,0.242,0.379,2.34
17.2,5,0.458,0.716,3.37
17.3,5,0.74,1.156,4.4
17.4,5,1.086,1.697,5.41
17.5,5,1.495,2.336,6.39
17.6,5,1.967,3.073,7.37
17.7,5,2.499,3.905,8.32
17.8,5,3.091,4.83,9.25
17.9,5,3.742,5.847,10.17
18,5,4.45,6.954,11.07
18.1,5,5.215,8.149,11.95
18.2,5,6.036,9.431,12.82
18.3,5,6.911,10.799,13.68
18.4,5,7.84,12.25,14.51
18.5,5,8.822,13.784,15.34
18.6,5,9.855,15.398,16.14
18.7,5,10,17.091,16.93
18.8,5,10,18.863,17.72
18.9,5,10,20.71,18.47
19,5,10,22.633,19.23
19.1,5,10,24.629,19.96
19.2,5,10,26.697,20.68
19.3,5,10,28.837,21.4
19.4,5,10,31.046,22.09
19.5,5,10,33.323,22.77
19.6,5,10,35.668,23.45
19.7,5,10,38.078,24.1
19.8,5,10,40.553,24.75
19.9,5,10,43.092,25.39
20,5,10,45.693,26.01
20.1,5,10,48.355,26.62
20.2,5,10,51.078,27.23
20.3,5,10,53.859,27.81
20.4,5,10,56.698,28.39
20.5,5,10,59.595,28.97
20.6,5,10,62.547,29.52
20.7,5,10,65.554,30.07
20.8,5,10,68.615,30.61
20.9,5,10,71.728,31.13
21,5,10,74.894,31.66
21.1,5,10,78.111,32.17
21.2,5,10,81.377,32.66
21.3,5,10,84.693,33.16
21.4,5,10,88.057,33.64
21.5,5,10,91.468,34.11
21.6,5,10,94.926,34.58
21.7,5,10,98.429,35.03
21.8,5,10,101.977,35.48
21.9,5,10,105.569,35.92
22,5,10,109.205,36.36
22.1,5,10,112.882,36.77
22.2,5,10,116.602,37.2
22.3,5,10,120.362,37.6
22.4,5,10,124.162,38
22.5,5,10,128.002,38.4
22.6,5,10,131.88,38.78
22.7,5,10,135.797,39.17
22.8,5,10,139.75,39.53
22.9,5,10,143.741,39.91
23,5,10,147.767,40.26
23.1,5,10,151.828,40.61
23.2,5,10,155.924,40.96
23.3,5,10,160.054,41.3
