Time(s),Input(v),Output(v),Output(m),Velocity
23.4,5,10,164.218,41.64
23.5,5,10,168.414,41.96
23.6,5,10,172.642,42.28
23.7,5,10,176.902,42.6
23.8,5,10,181.193,42.91
23.9,5,10,185.515,43.22
24,5,10,189.866,43.51
24.1,5,10,194.247,43.81
24.2,5,10,198.656,44.09
24.3,5,10,203.094,44.38
24.4,5,10,207.559,44.65
24.5,5,10,212.052,44.93
24.6,5,10,216.572,45.2
24.7,5,10,221.118,45.46
24.8,5,10,225.689,45.71
24.9,5,10,230.286,45.97
25,5,10,234.908,46.22
25.1,5,10,239.554,46.46
25.2,5,10,244.225,46.71
25.3,5,10,248.919,46.94
25.4,5,10,253.635,47.16
25.5,5,10,258.375,47.4
25.6,5,10,263.137,47.62
25.7,5,10,267.921,47.84
25.8,5,10,272.726,48.05
25.9,5,10,277.552,48.26
26,5,10,282.399,48.47
26.1,5,10,287.266,48.67
26.2,5,10,292.154,48.88
26.3,5,10,297.06,49.06
26.4,5,10,301.986,49.26
26.5,5,10,306.931,49.45
26.6,5,10,311.895,49.64
26.7,5,10,316.877,49.82
26.8,5,10,321.876,49.99
26.9,5,10,326.893,50.17
27,5,10,331.927,50.34
27.1,5,10,336.979,50.52
27.2,5,10,342.046,50.67
27.3,5,10,347.13,50.84
27.4,5,10,352.23,51
27.5,5,10,357.346,51.16
27.6,5,10,362.477,51.31
27.7,5,10,367.624,51.47
27.8,5,10,372.785,51.61
27.9,5,10,377.961,51.76
28,5,10,383.151,51.9
28.1,5,10,388.355,52.04
28.2,5,10,393.573,52.18
28.3,5,10,398.804,52.31
28.4,5,10,404.049,52.45
28.5,5,10,409.307,52.58
28.6,5,10,414.578,52.71
28.7,5,10,419.861,52.83
28.8,5,10,425.157,52.96
28.9,5,10,430.465,53.08
29,5,10,435.785,53.2
29.1,5,10,441.116,53.31
29.2,5,10,446.459,53.43
29.3,5,10,451.813,53.54
29.4,5,10,457.179,53.66
29.5,5,10,462.555,53.76
29.6,5,10,467.942,53.87
29.7,5,10,473.339,53.97
29.8,5,10,478.747,54.08
29.9,5,10,484.164,54.17
30,5,10,489.592,54.28
30.1,5,10,495.029,54.37
30.2,5,10,500.476,54.47
30.3,5,10,505.933,54.57
30.4,5,10,511.398,54.65
30.5,5,10,516.873,54.75
30.6,5,10,522.356,54.83
30.7,5,10,527.848,54.92
30.8,5,10,533.349,55.01
30.9,5,10,538.858,55.09
31,5,10,544.376,55.18
31.1,5,10,549.901,55.25
31.2,5,10,555.435,55.34
31.3,5,10,560.976,55.41
31.4,5,10,566.525,55.49
31.5,5,10,572.081,55.56
31.6,5,10,577.645,55.64
31.7,5,10,583.216,55.71
31.8,5,10,588.794,55.78
31.9,5,10,594.38,55.86
32,5,10,599.972,55.92
32.1,5,10,605.571,55.99
32.2,5,10,611.176,56.05
32.3,5,10,616.788,56.12
32.4,5,10,622.406,56.18
32.5,5,10,628.031,56.25
32.6,5,10,633.662,56.31
32.7,5,10,639.298,56.36
32.8,5,10,644.941,56.43
32.9,5,10,650.589,56.48
33,5,10,656.244,56.55
33.1,5,10,661.904,56.6
33.2,5,10,667.569,56.65
33.3,5,10,673.24,56.71
33.4,5,10,678.916,56.76
33.5,5,10,684.597,56.81
33.6,5,10,690.283,56.86
33.7,5,10,695.975,56.92
33.8,5,10,701.671,56.96
33.9,5,10,707.372,57.01
34,5,10,713.078,57.06
34.1,5,10,718.789,57.11
34.2,5,10,724.504,57.15
34.3,5,10,730.223,57.19
34.4,5,10,735.948,57.25
34.5,5,10,741.676,57.28
34.6,5,10,747.409,57.33
34.7,5,10,753.145,57.36
34.8,5,10,758.886,57.41
34.9,5,10,764.631,57.45
35,5,10,770.38,57.49
35.1,5,10,776.133,57.53
35.2,5,10,781.89,57.57
35.3,5,10,787.65,57.6
35.4,5,10,793.414,57.64
35.5,5,10,799.182,57.68
35.6,5,10,804.953,57.71
35.7,5,10,810.728,57.75
35.8,5,10,816.506,57.78
35.9,5,10,822.287,57.81
36,5,10,828.072,57.85
36.1,5,10,833.86,57.88
36.2,5,10,839.651,57.91
36.3,5,10,845.445,57.94
36.4,5,10,851.243,57.98
36.5,5,10,857.043,58
36.6,5,10,862.846,58.03
36.7,5,10,868.652,58.06
36.8,5,10,874.461,58.09
36.9,5,10,880.273,58.12
37,5,10,886.087,58.14
37.1,5,10,891.905,58.18
37.2,5,10,897.724,58.19
37.3,5,10,903.547,58.23
37.4,5,10,909.372,58.25
37.5,5,10,915.199,58.27
37.6,5,10,921.029,58.3
37.7,5,10,926.861,58.32
37.8,5,10,932.696,58.35
37.9,5,10,938.533,58.37
38,5,10,944.372,58.39
38.1,5,10,950.214,58.42
38.2,5,10,956.058,58.44
38.3,5,10,961.904,58.46
38.4,5,10,967.752,58.48
38.5,5,10,973.602,58.5
38.6,5,10,979.454,58.52
38.7,5,10,985.308,58.54
38.8,5,10,991.164,58.56
38.9,5,10,997.022,58.58
39,5,10,1002.882,58.6
39.1,5,10,1008.743,58.61
39.2,5,10,1014.607,58.64
39.3,5,10,1020.472,58.65
39.4,5,10,1026.34,58.68
39.5,5,10,1032.208,58.68
39.6,5,10,1038.079,58.71
39.7,5,10,1043.951,58.72
39.8,5,10,1049.825,58.74
39.9,5,10,1055.701,58.76
40,5,10,1061.578,58.77
40.1,5,10,1067.456,58.78
40.2,5,10,1073.336,58.8
40.3,5,10,1079.218,58.82
40.4,5,10,1085.101,58.83
40.5,5,10,1090.985,58.84
40.6,5,10,1096.871,58.86
40.7,5,10,1102.759,58.88
40.8,5,10,1108.647,58.88
40.9,5,10,1114.537,58.9
41,5,10,1120.429,58.92
41.1,5,10,1126.321,58.92
41.2,5,10,1132.215,58.94
41.3,5,10,1138.11,58.95
41.4,5,10,1144.007,58.97
41.5,5,10,1149.904,58.97
41.6,5,10,1155.803,58.99
41.7,5,10,1161.703,59
41.8,5,10,1167.604,59.01
41.9,5,10,1173.506,59.02
42,5,10,1179.409,59.03
42.1,5,10,1185.313,59.04
42.2,5,10,1191.218,59.05
42.3,5,10,1197.125,59.07
42.4,5,10,1203.032,59.07
42.5,5,10,1208.94,59.08
42.6,5,10,1214.85,59.1
42.7,5,10,1220.76,59.1
42.8,5,10,1226.671,59.11
42.9,5,10,1232.583,59.12
43,5,10,1238.497,59.14
43.1,5,10,1244.411,59.14
43.2,5,10,1250.325,59.14
43.3,5,10,1256.241,59.16
43.4,5,10,1262.158,59.17
43.5,5,10,1268.075,59.17
43.6,5,10,1273.993,59.18
43.7,5,10,1279.912,59.19
43.8,5,10,1285.832,59.2
43.9,5,10,1291.752,59.2
44,5,10,1297.674,59.22
44.1,5,10,1303.596,59.22
44.2,5,10,1309.518,59.22
44.3,5,10,1315.442,59.24
44.4,5,10,1321.366,59.24
44.5,5,10,1327.291,59.25
44.6,5,10,1333.216,59.25
44.7,5,10,1339.143,59.27
44.8,5,10,1345.07,59.27
44.9,5,10,1350.997,59.27
45,5,10,1356.925,59.28
45.1,5,10,1362.854,59.29
45.2,5,10,1368.783,59.29
45.3,5,10,1374.713,59.3
45.4,5,10,1380.644,59.31
45.5,5,10,1386.575,59.31
45.6,5,10,1392.506,59.31
45.7,5,10,1398.439,59.33
45.8,5,10,1404.371,59.32
45.9,5,10,1410.305,59.34
46,5,10,1416.239,59.34
46.1,5,10,1422.173,59.34
46.2,5,10,1428.108,59.35
46.3,5,10,1434.043,59.35
46.4,5,10,1439.979,59.36
46.5,5,10,1445.915,59.36
46.6,5,10,1451.852,59.37
46.7,5,10,1457.789,59.37
46.8,5,10,1463.727,59.38
46.9,5,10,1469.665,59.38
47,5,10,1475.603,59.38
47.1,5,10,1481.542,59.39
47.2,5,10,1487.482,59.4
47.3,5,10,1493.422,59.4
47.4,5,10,1499.362,59.4
47.5,5,10,1505.302,59.4
47.6,5,10,1511.243,59.41
47.7,5,10,1517.185,59.42
47.8,5,10,1523.127,59.42
47.9,5,10,1529.069,59.42
48,5,10,1535.011,59.42
48.1,5,10,1540.954,59.43
48.2,5,10,1546.897,59.43
48.3,5,10,1552.841,59.44
48.4,5,10,1558.785,59.44
48.5,5,10,1564.729,59.44
48.6,5,10,1570.673,59.44
48.7,5,10,1576.618,59.45
48.8,5,10,1582.563,59.45
48.9,5,10,1588.509,59.46
49,5,10,1594.455,59.46
49.1,5,10,1600.401,59.46
49.2,5,10,1606.347,59.46
49.3,5,10,1612.294,59.47
49.4,5,10,1618.241,59.47
49.5,5,10,1624.188,59.47
49.6,5,10,1630.135,59.47
49.7,5,10,1636.083,59.48
49.8,5,10,1642.031,59.48
49.9,5,10,1647.979,59.48
50,5,10,1653.928,59.49
50.1,5,10,1659.876,59.48
50.2,5,10,1665.825,59.49
50.3,5,10,1671.775,59.5
50.4,5,10,1677.724,59.49
50.5,5,10,1683.674,59.5
50.6,5,10,1689.624,59.5
50.7,5,10,1695.574,59.5
50.8,5,10,1701.524,59.5
50.9,5,10,1707.475,59.51
51,5,10,1713.425,59.5
51.1,5,10,1719.376,59.51
51.2,5,10,1725.328,59.52
51.3,5,10,1731.279,59.51
51.4,5,10,1737.23,59.51
51.5,5,10,1743.182,59.52
51.6,5,10,1749.134,59.52
51.7,5,10,1755.086,59.52
51.8,5,10,1761.039,59.53
51.9,5,10,1766.991,59.52
52,5,10,1772.944,59.53
52.1,5,10,1778.897,59.53
52.2,5,10,1784.85,59.53
52.3,5,10,1790.803,59.53
52.4,5,10,1796.756,59.53
52.5,5,10,1802.709,59.53
52.6,5,10,1808.663,59.54
52.7,5,10,1814.617,59.54
52.8,5,10,1820.571,59.54
52.9,5,10,1826.525,59.54
53,5,10,1832.479,59.54
53.1,5,10,1838.433,59.54
53.2,5,10,1844.388,59.55
53.3,5,10,1850.343,59.55
53.4,5,10,1856.297,59.54
53.5,5,10,1862.252,59.55
53.6,5,10,1868.207,59.55
53.7,5,10,1874.162,59.55
53.8,5,10,1880.118,59.56
53.9,5,10,1886.073,59.55
54,5,10,1892.029,59.56
54.1,5,10,1897.984,59.55
54.2,5,10,1903.94,59.56
54.3,5,10,1909.896,59.56
54.4,5,10,1915.852,59.56
54.5,5,10,1921.808,59.56
54.6,5,10,1927.764,59.56
54.7,5,10,1933.721,59.57
54.8,5,10,1939.677,59.56
54.9,5,10,1945.633,59.56
55,5,10,1951.59,59.57
55.1,5,10,1957.547,59.57
55.2,5,10,1963.504,59.57
55.3,5,10,1969.461,59.57
55.4,5,10,1975.418,59.57
55.5,5,10,1981.375,59.57
55.6,5,10,1987.332,59.57
55.7,5,10,1993.289,59.57
55.8,5,10,1999.246,59.57
55.9,5,10,2005.204,59.58
56,5,10,2011.161,59.57
56.1,5,10,2017.119,59.58
56.2,5,10,2023.077,59.58
56.3,5,10,2029.034,59.57
56.4,5,10,2034.992,59.58
56.5,5,10,2040.95,59.58
56.6,5,10,2046.908,59.58
56.7,5,10,2052.866,59.58
56.8,5,10,2058.824,59.58
56.9,5,10,2064.783,59.59
57,5,10,2070.741,59.58
57.1,5,10,2076.699,59.58
57.2,5,10,2082.658,59.59
57.3,5,10,2088.616,59.58
57.4,5,10,2094.575,59.59
57.5,5,10,2100.533,59.58
57.6,5,10,2106.492,59.59
57.7,5,10,2112.451,59.59
57.8,5,10,2118.409,59.58
57.9,5,10,2124.368,59.59
58,5,10,2130.327,59.59
58.1,5,10,2136.286,59.59
58.2,5,10,2142.245,59.59
58.3,5,10,2148.204,59.59
58.4,5,10,2154.163,59.59
58.5,5,10,2160.122,59.59
58.6,5,10,2166.082,59.6
58.7,5,10,2172.041,59.59
58.8,5,10,2178,59.59
58.9,5,10,2183.96,59.6
59,5,10,2189.919,59.59
59.1,5,10,2195.878,59.59
59.2,5,10,2201.838,59.6
59.3,5,10,2207.797,59.59
59.4,5,10,2213.757,59.6
59.5,5,10,2219.717,59.6
59.6,5,10,2225.676,59.59
59.7,5,10,2231.636,59.6
59.8,5,10,2237.596,59.6
59.9,5,10,2243.556,59.6
60,5,10,2249.516,59.6
60.1,5,10,2255.475,59.59
60.2,5,10,2261.435,59.6
60.3,5,10,2267.395,59.6
60.4,5,10,2273.355,59.6
60.5,5,10,2279.315,59.6
60.6,5,10,2285.276,59.61
60.7,5,10,2291.236,59.6
60.8,5,10,2297.196,59.6
60.9,5,10,2303.156,59.6
61,5,10,2309.116,59.6
61.1,5,10,2315.076,59.6
61.2,5,10,2321.037,59.61
61.3,5,10,2326.997,59.6
61.4,5,10,2332.957,59.6
61.5,5,10,2338.918,59.61
61.6,5,10,2344.878,59.6
61.7,5,10,2350.839,59.61
61.8,5,10,2356.799,59.6
61.9,5,10,2362.759,59.6
62,5,10,2368.72,59.61
62.1,5,10,2374.681,59.61
62.2,5,10,2380.641,59.6
62.3,5,10,2386.602,59.61
62.4,5,10,2392.562,59.6
62.5,5,10,2398.523,59.61
62.6,5,10,2404.484,59.61
62.7,5,10,2410.444,59.6
62.8,5,10,2416.405,59.61
62.9,5,10,2422.366,59.61
63,5,10,2428.327,59.61
63.1,5,10,2434.287,59.6
63.2,5,10,2440.248,59.61
63.3,5,10,2446.209,59.61
63.4,5,10,2452.17,59.61
63.5,5,10,2458.131,59.61
63.6,5,10,2464.092,59.61
63.7,5,10,2470.052,59.6
63.8,5,10,2476.013,59.61
63.9,5,10,2481.974,59.61
64,5,10,2487.935,59.61
64.1,5,10,2493.896,59.61
64.2,5,10,2499.857,59.61
64.3,5,10,2505.818,59.61
64.4,5,10,2511.779,59.61
64.5,5,10,2517.74,59.61
64.6,5,10,2523.702,59.62
64.7,5,10,2529.663,59.61
64.8,5,10,2535.624,59.61
64.9,5,10,2541.585,59.61
65,5,10,2547.546,59.61
65.1,5,10,2553.507,59.61
65.2,5,10,2559.468,59.61
65.3,5,10,2565.43,59.62
65.4,5,10,2571.391,59.61
65.5,5,10,2577.352,59.61
65.6,5,10,2583.313,59.61
65.7,5,10,2589.274,59.61
65.8,5,10,2595.236,59.62
65.9,5,10,2601.197,59.61
66,5,10,2607.158,59.61
66.1,5,10,2613.12,59.62
66.2,5,10,2619.081,59.61
66.3,5,10,2625.042,59.61
66.4,5,10,2631.004,59.62
66.5,5,10,2636.965,59.61
66.6,5,10,2642.926,59.61
66.7,5,10,2648.888,59.62
66.8,5,10,2654.849,59.61
66.9,5,10,2660.81,59.61
67,5,10,2666.772,59.62
67.1,5,10,2672.733,59.61
67.2,5,10,2678.695,59.62
67.3,5,10,2684.656,59.61
67.4,5,10,2690.618,59.62
67.5,5,10,2696.579,59.61
67.6,5,10,2702.54,59.61
67.7,5,10,2708.502,59.62
67.8,5,10,2714.463,59.61
67.9,5,10,2720.425,59.62
68,5,10,2726.386,59.61
68.1,5,10,2732.348,59.62
68.2,5,10,2738.31,59.62
68.3,5,10,2744.271,59.61
68.4,5,10,2750.233,59.62
68.5,5,10,2756.194,59.61
68.6,5,10,2762.156,59.62
68.7,5,10,2768.117,59.61
68.8,5,10,2774.079,59.62
68.9,5,10,2780.04,59.61
69,5,10,2786.002,59.62
69.1,5,10,2791.964,59.62
69.2,5,10,2797.925,59.61
69.3,5,10,2803.887,59.62
69.4,5,10,2809.848,59.61
69.5,5,10,2815.81,59.62
69.6,5,10,2821.772,59.62
69.7,5,10,2827.733,59.61
69.8,5,10,2833.695,59.62
69.9,5,10,2839.657,59.62
70,5,10,2845.618,59.61
70.1,5,10,2851.58,59.62
70.2,5,10,2857.542,59.62
70.3,5,10,2863.503,59.61
70.4,5,10,2869.465,59.62
70.5,5,10,2875.427,59.62
70.6,5,10,2881.388,59.61
70.7,5,10,2887.35,59.62
70.8,5,10,2893.312,59.62
70.9,5,10,2899.273,59.61
71,5,10,2905.235,59.62
71.1,5,10,2911.197,59.62
71.2,5,10,2917.159,59.62
71.3,5,10,2923.12,59.61
71.4,5,10,2929.082,59.62
71.5,5,10,2935.044,59.62
71.6,5,10,2941.006,59.62
71.7,5,10,2946.967,59.61
71.8,5,10,2952.929,59.62
71.9,5,10,2958.891,59.62
72,5,10,2964.853,59.62
72.1,5,10,2970.814,59.61
72.2,5,10,2976.776,59.62
72.3,5,10,2982.738,59.62
72.4,5,10,2988.7,59.62
72.5,5,10,2994.662,59.62
72.6,5,10,3000.623,59.61
72.7,5,10,3006.585,59.62
72.8,5,10,3012.547,59.62
72.9,5,10,3018.509,59.62
73,5,10,3024.47,59.61
73.1,5,10,3030.432,59.62
73.2,5,10,3036.394,59.62
73.3,5,10,3042.356,59.62
73.4,5,10,3048.318,59.62
73.5,5,10,3054.28,59.62
73.6,5,10,3060.241,59.61
73.7,5,10,3066.203,59.62
73.8,5,10,3072.165,59.62
73.9,5,10,3078.127,59.62
74,5,10,3084.089,59.62
74.1,5,10,3090.051,59.62
74.2,5,10,3096.012,59.61
74.3,5,10,3101.974,59.62
74.4,5,10,3107.936,59.62
74.5,5,10,3113.898,59.62
74.6,5,10,3119.86,59.62
74.7,5,10,3125.822,59.62
74.8,5,10,3131.783,59.61
74.9,5,10,3137.745,59.62
75,5,10,3143.707,59.62
75.1,5,10,3149.669,59.62
75.2,5,10,3155.631,59.62
75.3,5,10,3161.593,59.62
75.4,5,10,3167.555,59.62
75.5,5,10,3173.517,59.62
75.6,5,10,3179.478,59.61
75.7,5,10,3185.44,59.62
75.8,5,10,3191.402,59.62
75.9,5,10,3197.364,59.62
76,5,10,3203.326,59.62
76.1,5,10,3209.288,59.62
76.2,5,10,3215.25,59.62
76.3,5,10,3221.212,59.62
76.4,5,10,3227.174,59.62
76.5,5,10,3233.135,59.61
76.6,5,10,3239.097,59.62
76.7,5,10,3245.059,59.62
76.8,5,10,3251.021,59.62
76.9,5,10,3256.983,59.62
77,5,10,3262.945,59.62
77.1,5,10,3268.907,59.62
77.2,5,10,3274.869,59.62
77.3,5,10,3280.831,59.62
