Time(s),Input(v),Output(v),Output(m),speed,Ks,FV = AB,B =step_size,,,,,
107.1,5,10,3762.729,59.62,,,,,,,,
107.2,5,10,3768.691,59.62,,,,,,,,
107.3,5,10,3774.653,59.62,,,,,,,,
107.4,5,10,3780.615,59.62,,,,,,,,
107.5,5,10,3786.577,59.62,,,,,,,,
107.6,5,10,3792.539,59.62,,,,,,,,
107.7,5,10,3798.501,59.62,,,,,,,,
107.8,5,10,3804.463,59.62,,,,,,,,
107.9,5,10,3810.425,59.62,,,,,,,,
108,5,10,3816.387,59.62,,,,,,,,
108.1,5,10,3822.349,59.62,,,,,,,,
108.2,5,10,3828.311,59.62,,,,,,,,
108.3,5,10,3834.273,59.62,,,,,,,,
108.4,5,10,3840.235,59.62,,,,,,,,
108.5,5,10,3846.197,59.62,,,,,,,,
108.6,5,10,3852.159,59.62,,,,,,,,
108.7,5,10,3858.121,59.62,,,,,,,,
108.8,5,10,3864.083,59.62,,,,,,,,
108.9,5,10,3870.045,59.62,,,,,,,,
109,5,10,3876.007,59.62,,,,,,,,
109.1,5,10,3881.969,59.62,,,,,,,,
109.2,5,10,3887.931,59.62,,,,,,,,
109.3,5,10,3893.893,59.62,,,,,,,,
109.4,5,10,3899.855,59.62,,,,,,,,
109.5,5,10,3905.817,59.62,,,,,,,,
109.6,5,10,3911.779,59.62,,,,,,,,
109.7,5,10,3917.741,59.62,,,,,,,,
109.8,5,10,3923.703,59.62,,,,,,,,
109.9,5,10,3929.665,59.62,,,,,,,,
110,5,10,3935.627,59.62,,,,,,,,
110.1,5,10,3941.589,59.62,,,,,,,,
110.2,5,10,3947.551,59.62,,,,,,,,
110.3,5,10,3953.513,59.62,,,,,,,,
110.4,5,10,3959.475,59.62,,,,,,,,
110.5,5,10,3965.437,59.62,,,,,,,,
110.6,5,10,3971.399,59.62,,,,,,,,
110.7,5,10,3977.361,59.62,,,,,,,,
110.8,5,10,3983.323,59.62,,,,,,,,
110.9,5,10,3989.285,59.62,,,,,,,,
111,5,10,3995.247,59.62,,,,,,,,
111.1,5,10,4001.209,59.62,,,,,,,,
111.2,5,10,4007.171,59.62,,,,,,,,
111.3,5,10,4013.133,59.62,,,,,,,,
111.4,5,10,4019.095,59.62,,,,,,,,
111.5,5,10,4025.057,59.62,,,,,,,,
111.6,5,10,4031.019,59.62,,,,,,,,
111.7,5,10,4036.981,59.62,,,,,,,,
111.8,5,10,4042.943,59.62,,,,,,,,
111.9,5,10,4048.905,59.62,,,,,,,,
112,5,10,4054.867,59.62,,,,,,,,
112.1,5,10,4060.829,59.62,,,,,,,,
112.2,5,10,4066.791,59.62,,,,,,,,
112.3,5,10,4072.753,59.62,,,,,,,,
112.4,5,10,4078.715,59.62,,,,,,,,
112.5,5,10,4084.677,59.62,,,,,,,,
112.6,5,10,4090.639,59.62,,,,,,,,
112.7,5,10,4096.601,59.62,,,,,,,,
112.8,5,10,4102.563,59.62,,,,,,,,
112.9,5,10,4108.525,59.62,,,,,,,,
113,5,10,4114.487,59.62,,,,,,,,
113.1,5,10,4120.449,59.62,,,,,,,,
113.2,5,10,4126.411,59.62,,,,,,,,
113.3,5,10,4132.373,59.62,,,,,,,,
113.4,5,10,4138.335,59.62,,,,,,,,
113.5,5,10,4144.297,59.62,,,,,,,,
113.6,5,10,4150.259,59.62,,,,,,,,
113.7,5,10,4156.221,59.62,,,,,,,,
113.8,5,10,4162.183,59.62,,,,,,,,
113.9,5,10,4168.145,59.62,,,,,,,,
114,5,10,4174.107,59.62,,,,,,,,
114.1,5,10,4180.069,59.62,,,,,,,,
114.2,5,10,4186.031,59.62,,,,,,,,
114.3,5,10,4191.993,59.62,,,,,,,,
114.4,5,10,4197.955,59.62,,,,,,,,
114.5,5,10,4203.917,59.62,,,,,,,,
114.6,5,10,4209.879,59.62,,,,,,,,
114.7,5,10,4215.841,59.62,,,,,,,,
114.8,5,10,4221.803,59.62,,,,,,,,
114.9,5,10,4227.765,59.62,,,,,,,,
115,5,10,4233.727,59.62,,,,,,,,
115.1,5,10,4239.689,59.62,,,,,,,,
115.2,5,10,4245.651,59.62,,,,,,,,
115.3,5,10,4251.613,59.62,,,,,,,,
115.4,5,10,4257.575,59.62,,,,,,,,
115.5,5,10,4263.537,59.62,,,,,,,,
115.6,5,10,4269.499,59.62,,,,,,,,
115.7,5,10,4275.461,59.62,,,,,,,,
115.8,5,10,4281.423,59.62,,,,,,,,
115.9,5,10,4287.385,59.62,,,,,,,,
116,5,10,4293.347,59.62,,,,,,,,
116.1,5,10,4299.309,59.62,,,,,,,,
116.2,5,10,4305.271,59.62,,,,,,,,
116.3,5,10,4311.233,59.62,,,,,,,,
116.4,5,10,4317.195,59.62,,,,,,,,
116.5,5,10,4323.156,59.61,,,,,,,,
116.6,5,10,4329.118,59.62,,,,,,,,
116.7,5,10,4335.08,59.62,,,,,,,,
116.8,5,10,4341.042,59.62,,,,,,,,
116.9,5,10,4347.004,59.62,,,,,,,,
117,5,10,4352.966,59.62,,,,,,,,
117.1,5,10,4358.928,59.62,,,,,,,,
117.2,5,10,4364.89,59.62,,,,,,,,
117.3,5,10,4370.852,59.62,,,,,,,,
117.4,5,10,4376.814,59.62,,,,,,,,
117.5,5,10,4382.776,59.62,,,,,,,,
117.6,5,10,4388.738,59.62,,,,,,,,
117.7,5,10,4394.7,59.62,,,,,,,,
117.8,5,10,4400.662,59.62,,,,,,,,
117.9,5,10,4406.624,59.62,,,,,,,,
118,5,10,4412.586,59.62,,,,,,,,
118.1,5,10,4418.548,59.62,,,,,,,,
118.2,5,10,4424.51,59.62,,,,,,,,
118.3,5,10,4430.472,59.62,,,,,,,,
118.4,5,10,4436.434,59.62,,,,,,,,
118.5,5,10,4442.396,59.62,,,,,,,,
118.6,5,10,4448.358,59.62,,,,,,,,
118.7,5,10,4454.32,59.62,,,,,,,,
118.8,5,10,4460.282,59.62,,,,,,,,
118.9,5,10,4466.244,59.62,,,,,,,,
119,5,10,4472.206,59.62,,,,,,,,
119.1,5,10,4478.168,59.62,,,,,,,,
119.2,5,10,4484.13,59.62,,,,,,,,
119.3,5,10,4490.092,59.62,,,,,,,,
119.4,5,10,4496.054,59.62,,,,,,,,
119.5,5,10,4502.016,59.62,,,,,,,,
119.6,5,10,4507.978,59.62,,,,,,,,
119.7,5,10,4513.94,59.62,,,,,,,,
119.8,5,10,4519.902,59.62,,,,,,,,
119.9,5,10,4525.864,59.62,,,,,,,,
120,5,10,4531.826,59.62,,,,,,,,
120.1,5,10,4537.788,59.62,,,,,,,,
120.2,5,10,4543.75,59.62,,,,,,,,
120.3,5,10,4549.712,59.62,,,,,,,,
120.4,5,10,4555.674,59.62,,,,,,,,
120.5,5,10,4561.636,59.62,,,,,,,,
120.6,5,10,4567.598,59.62,,,,,,,,
120.7,5,10,4573.56,59.62,,,,,,,,
120.8,5,10,4579.522,59.62,,,,,,,,
120.9,5,10,4585.484,59.62,,,,,,,,
121,5,10,4591.446,59.62,,,,,,,,
121.1,5,10,4597.408,59.62,,,,,,,,
121.2,5,10,4603.37,59.62,,,,,,,,
121.3,5,10,4609.332,59.62,,,,,,,,
121.4,5,10,4615.294,59.62,,,,,,,,
121.5,5,10,4621.256,59.62,,,,,,,,
121.6,5,10,4627.218,59.62,,,,,,,,
121.7,5,10,4633.18,59.62,,,,,,,,
121.8,5,10,4639.142,59.62,,,,,,,,
121.9,5,10,4645.104,59.62,,,,,,,,
122,5,10,4651.066,59.62,,,,,,,,
122.1,5,10,4657.028,59.62,,,,,,,,
122.2,5,10,4662.99,59.62,,,,,,,,
122.3,5,10,4668.952,59.62,,,,,,,,
122.4,5,10,4674.914,59.62,,,,,,,,
122.5,5,10,4680.876,59.62,,,,,,,,
122.6,5,10,4686.838,59.62,,,,,,,,
122.7,5,10,4692.8,59.62,,,,,,,,
122.8,5,10,4698.762,59.62,,,,,,,,
122.9,5,10,4704.724,59.62,,,,,,,,
123,5,10,4710.686,59.62,,,,,,,,
123.1,5,10,4716.648,59.62,,,,,,,,
123.2,5,10,4722.61,59.62,,,,,,,,
123.3,5,10,4728.572,59.62,,,,,,,,
123.4,5,10,4734.534,59.62,,,,,,,,
123.5,5,10,4740.496,59.62,,,,,,,,
123.6,5,10,4746.458,59.62,,,,,,,,
123.7,5,10,4752.42,59.62,,,,,,,,
123.8,5,10,4758.382,59.62,,,,,,,,
123.9,5,10,4764.344,59.62,,,,,,,,
124,5,10,4770.306,59.62,,,,,,,,
124.1,5,10,4776.268,59.62,,,,,,,,
124.2,5,10,4782.23,59.62,,,,,,,,
124.3,5,10,4788.192,59.62,,,,,,,,
124.4,5,10,4794.154,59.62,,,,,,,,
124.5,5,10,4800.116,59.62,,,,,,,,
124.6,5,10,4806.078,59.62,,,,,,,,
124.7,5,10,4812.04,59.62,,,,,,,,
124.8,5,10,4818.002,59.62,,,,,,,,
124.9,5,10,4823.964,59.62,,,,,,,,
125,5,10,4829.926,59.62,,,,,,,,
125.1,5,10,4835.888,59.62,,,,,,,,
125.2,5,10,4841.85,59.62,,,,,,,,
125.3,5,10,4847.812,59.62,,,,,,,,
125.4,5,10,4853.774,59.62,,,,,,,,
125.5,5,10,4859.736,59.62,,,,,,,,
125.6,5,10,4865.698,59.62,,,,,,,,
125.7,5,10,4871.66,59.62,,,,,,,,
125.8,5,10,4877.622,59.62,,,,,,,,
125.9,5,10,4883.584,59.62,,,,,,,,
126,5,10,4889.546,59.62,,,,,,,,
126.1,5,10,4895.508,59.62,,,,,,,,
126.2,5,10,4901.47,59.62,,,,,,,,
126.3,5,10,4907.432,59.62,,,,,,,,
126.4,5,10,4913.394,59.62,,,,,,,,
126.5,5,10,4919.356,59.62,,,,,,,,
126.6,5,10,4925.318,59.62,,,,,,,,
126.7,5,10,4931.28,59.62,,,,,,,,
126.8,5,10,4937.242,59.62,,,,,,,,
126.9,5,10,4943.204,59.62,,,,,,,,
127,5,10,4949.166,59.62,,,,,,,,
127.1,5,10,4955.128,59.62,,,,,,,,
127.2,5,10,4961.09,59.62,,,,,,,,
127.3,5,10,4967.052,59.62,,,,,,,,
127.4,5,10,4973.014,59.62,,,,,,,,
127.5,5,10,4978.976,59.62,,,,,,,,
127.6,5,10,4984.938,59.62,,,,,,,,
127.7,5,10,4990.9,59.62,,,,,,,,
127.8,5,10,4996.862,59.62,,,,,,,,
127.9,5,10,5002.824,59.62,,,,,,,,
128,5,10,5008.786,59.62,,,,,,,,
128.1,5,10,5014.748,59.62,,,,,,,,
128.2,5,10,5020.71,59.62,,,,,,,,
128.3,5,10,5026.672,59.62,,,,,,,,
128.4,5,10,5032.634,59.62,,,,,,,,
128.5,5,10,5038.596,59.62,,,,,,,,
128.6,5,10,5044.558,59.62,,,,,,,,
128.7,5,10,5050.52,59.62,,,,,,,,
128.8,5,10,5056.482,59.62,,,,,,,,
128.9,5,10,5062.444,59.62,,,,,,,,
129,5,10,5068.406,59.62,,,,,,,,
129.1,5,10,5074.368,59.62,,,,,,,,
129.2,5,10,5080.33,59.62,,,,,,,,
129.3,5,10,5086.292,59.62,,,,,,,,
129.4,5,10,5092.254,59.62,,,,,,,,
129.5,5,10,5098.216,59.62,,,,,,,,
129.6,5,10,5104.178,59.62,,,,,,,,
129.7,5,10,5110.14,59.62,,,,,,,,
129.8,5,10,5116.102,59.62,,,,,,,,
129.9,5,10,5122.064,59.62,,,,,,,,
130,5,10,5128.026,59.62,,,,,,,,
130.1,5,10,5133.988,59.62,,,,,,,,
130.2,5,10,5139.95,59.62,,,,,,,,
130.3,5,10,5145.912,59.62,,,,,,,,
130.4,5,10,5151.874,59.62,,,,,,,,
130.5,5,10,5157.836,59.62,,,,,,,,
130.6,5,10,5163.798,59.62,,,,,,,,
130.7,5,10,5169.76,59.62,,,,,,,,
130.8,5,10,5175.722,59.62,,,,,,,,
130.9,5,10,5181.684,59.62,,,,,,,,
131,5,10,5187.646,59.62,,,,,,,,
131.1,5,10,5193.608,59.62,,,,,,,,
131.2,5,10,5199.57,59.62,,,,,,,,
131.3,5,10,5205.532,59.62,,,,,,,,
131.4,5,10,5211.494,59.62,,,,,,,,
131.5,5,10,5217.456,59.62,,,,,,,,
131.6,5,10,5223.418,59.62,,,,,,,,
131.7,5,10,5229.38,59.62,,,,,,,,
131.8,5,10,5235.342,59.62,,,,,,,,
131.9,5,10,5241.304,59.62,,,,,,,,
132,5,10,5247.266,59.62,,,,,,,,
132.1,5,10,5253.228,59.62,,,,,,,,
132.2,5,10,5259.19,59.62,,,,,,,,
132.3,5,10,5265.152,59.62,,,,,,,,
132.4,5,10,5271.114,59.62,,,,,,,,
132.5,5,10,5277.076,59.62,,,,,,,,
132.6,5,10,5283.038,59.62,,,,,,,,
132.7,5,10,5289,59.62,,,,,,,,
132.8,5,10,5294.962,59.62,,,,,,,,
132.9,5,10,5300.924,59.62,,,,,,,,
133,5,10,5306.886,59.62,,,,,,,,
133.1,5,10,5312.848,59.62,,,,,,,,
133.2,5,10,5318.81,59.62,,,,,,,,
133.3,5,10,5324.772,59.62,,,,,,,,
133.4,5,10,5330.734,59.62,,,,,,,,
133.5,5,10,5336.696,59.62,,,,,,,,
133.6,5,10,5342.658,59.62,,,,,,,,
133.7,5,10,5348.62,59.62,,,,,,,,
133.8,5,10,5354.582,59.62,,,,,,,,
133.9,5,10,5360.544,59.62,,,,,,,,
134,5,10,5366.506,59.62,,,,,,,,
