Time(s),Input(v),Output(v),Output(m),Velocity
51.3,5,10,1969.788,59.57
51.4,5,10,1975.745,59.57
51.5,5,10,1981.702,59.58
51.6,5,10,1987.66,59.57
51.7,5,10,1993.617,59.57
51.8,5,10,1999.574,59.58
51.9,5,10,2005.532,59.57
52,5,10,2011.489,59.58
52.1,5,10,2017.447,59.57
52.2,5,10,2023.404,59.58
52.3,5,10,2029.362,59.58
52.4,5,10,2035.32,59.58
52.5,5,10,2041.278,59.58
52.6,5,10,2047.236,59.58
52.7,5,10,2053.194,59.58
52.8,5,10,2059.152,59.58
52.9,5,10,2065.11,59.59
53,5,10,2071.069,59.58
53.1,5,10,2077.027,59.58
53.2,5,10,2082.985,59.59
53.3,5,10,2088.944,59.58
53.4,5,10,2094.902,59.59
53.5,5,10,2100.861,59.59
53.6,5,10,2106.82,59.58
53.7,5,10,2112.778,59.59
53.8,5,10,2118.737,59.59
53.9,5,10,2124.696,59.59
54,5,10,2130.655,59.59
54.1,5,10,2136.614,59.59
54.2,5,10,2142.573,59.59
54.3,5,10,2148.532,59.59
54.4,5,10,2154.491,59.59
54.5,5,10,2160.45,59.59
54.6,5,10,2166.409,59.6
54.7,5,10,2172.369,59.59
54.8,5,10,2178.328,59.59
54.9,5,10,2184.287,59.6
55,5,10,2190.247,59.59
55.1,5,10,2196.206,59.6
55.2,5,10,2202.166,59.59
55.3,5,10,2208.125,59.6
55.4,5,10,2214.085,59.6
55.5,5,10,2220.045,59.59
55.6,5,10,2226.004,59.6
55.7,5,10,2231.964,59.6
55.8,5,10,2237.924,59.6
55.9,5,10,2243.884,59.59
56,5,10,2249.843,59.6
56.1,5,10,2255.803,59.6
56.2,5,10,2261.763,59.6
56.3,5,10,2267.723,59.6
56.4,5,10,2273.683,59.6
56.5,5,10,2279.643,59.6
56.6,5,10,2285.603,59.61
56.7,5,10,2291.564,59.6
56.8,5,10,2297.524,59.6
56.9,5,10,2303.484,59.6
57,5,10,2309.444,59.6
57.1,5,10,2315.404,59.61
57.2,5,10,2321.365,59.6
57.3,5,10,2327.325,59.6
57.4,5,10,2333.285,59.61
57.5,5,10,2339.246,59.6
57.6,5,10,2345.206,59.6
57.7,5,10,2351.166,59.61
57.8,5,10,2357.127,59.6
57.9,5,10,2363.087,59.61
58,5,10,2369.048,59.6
58.1,5,10,2375.008,59.61
58.2,5,10,2380.969,59.61
58.3,5,10,2386.93,59.6
58.4,5,10,2392.89,59.61
58.5,5,10,2398.851,59.61
58.6,5,10,2404.812,59.6
58.7,5,10,2410.772,59.61
58.8,5,10,2416.733,59.61
58.9,5,10,2422.694,59.6
59,5,10,2428.654,59.61
59.1,5,10,2434.615,59.61
59.2,5,10,2440.576,59.61
59.3,5,10,2446.537,59.61
59.4,5,10,2452.498,59.61
59.5,5,10,2458.459,59.61
59.6,5,10,2464.42,59.6
59.7,5,10,2470.38,59.61
59.8,5,10,2476.341,59.61
59.9,5,10,2482.302,59.61
60,5,10,2488.263,59.61
60.1,5,10,2494.224,59.61
60.2,5,10,2500.185,59.61
60.3,5,10,2506.146,59.61
60.4,5,10,2512.107,59.61
60.5,5,10,2518.068,59.61
60.6,5,10,2524.029,59.62
60.7,5,10,2529.991,59.61
60.8,5,10,2535.952,59.61
60.9,5,10,2541.913,59.61
61,5,10,2547.874,59.61
61.1,5,10,2553.835,59.61
61.2,5,10,2559.796,59.62
61.3,5,10,2565.758,59.61
61.4,5,10,2571.719,59.61
61.5,5,10,2577.68,59.61
61.6,5,10,2583.641,59.61
61.7,5,10,2589.602,59.62
61.8,5,10,2595.564,59.61
61.9,5,10,2601.525,59.61
62,5,10,2607.486,59.62
62.1,5,10,2613.448,59.61
62.2,5,10,2619.409,59.61
62.3,5,10,2625.37,59.62
62.4,5,10,2631.332,59.61
62.5,5,10,2637.293,59.61
62.6,5,10,2643.254,59.62
62.7,5,10,2649.216,59.61
62.8,5,10,2655.177,59.61
62.9,5,10,2661.138,59.62
63,5,10,2667.1,59.61
63.1,5,10,2673.061,59.62
63.2,5,10,2679.023,59.61
63.3,5,10,2684.984,59.62
63.4,5,10,2690.946,59.61
63.5,5,10,2696.907,59.61
63.6,5,10,2702.868,59.62
63.7,5,10,2708.83,59.61
63.8,5,10,2714.791,59.62
63.9,5,10,2720.753,59.61
64,5,10,2726.714,59.62
64.1,5,10,2732.676,59.61
64.2,5,10,2738.637,59.62
64.3,5,10,2744.599,59.62
64.4,5,10,2750.561,59.61
64.5,5,10,2756.522,59.62
64.6,5,10,2762.484,59.61
64.7,5,10,2768.445,59.62
64.8,5,10,2774.407,59.61
64.9,5,10,2780.368,59.62
65,5,10,2786.33,59.62
65.1,5,10,2792.292,59.61
65.2,5,10,2798.253,59.62
65.3,5,10,2804.215,59.61
65.4,5,10,2810.176,59.62
65.5,5,10,2816.138,59.62
65.6,5,10,2822.1,59.61
65.7,5,10,2828.061,59.62
65.8,5,10,2834.023,59.62
65.9,5,10,2839.985,59.61
66,5,10,2845.946,59.62
66.1,5,10,2851.908,59.62
66.2,5,10,2857.87,59.61
66.3,5,10,2863.831,59.62
66.4,5,10,2869.793,59.62
66.5,5,10,2875.755,59.61
66.6,5,10,2881.716,59.62
66.7,5,10,2887.678,59.62
66.8,5,10,2893.64,59.61
66.9,5,10,2899.601,59.62
67,5,10,2905.563,59.62
67.1,5,10,2911.525,59.62
67.2,5,10,2917.487,59.61
67.3,5,10,2923.448,59.62
67.4,5,10,2929.41,59.62
67.5,5,10,2935.372,59.62
67.6,5,10,2941.334,59.61
67.7,5,10,2947.295,59.62
67.8,5,10,2953.257,59.62
67.9,5,10,2959.219,59.62
68,5,10,2965.181,59.61
68.1,5,10,2971.142,59.62
68.2,5,10,2977.104,59.62
68.3,5,10,2983.066,59.62
68.4,5,10,2989.028,59.61
68.5,5,10,2994.989,59.62
68.6,5,10,3000.951,59.62
68.7,5,10,3006.913,59.62
68.8,5,10,3012.875,59.62
68.9,5,10,3018.837,59.61
69,5,10,3024.798,59.62
69.1,5,10,3030.76,59.62
69.2,5,10,3036.722,59.62
69.3,5,10,3042.684,59.62
69.4,5,10,3048.646,59.62
69.5,5,10,3054.608,59.61
69.6,5,10,3060.569,59.62
69.7,5,10,3066.531,59.62
69.8,5,10,3072.493,59.62
69.9,5,10,3078.455,59.62
70,5,10,3084.417,59.62
70.1,5,10,3090.379,59.61
70.2,5,10,3096.34,59.62
70.3,5,10,3102.302,59.62
70.4,5,10,3108.264,59.62
70.5,5,10,3114.226,59.62
70.6,5,10,3120.188,59.62
70.7,5,10,3126.15,59.61
70.8,5,10,3132.111,59.62
70.9,5,10,3138.073,59.62
71,5,10,3144.035,59.62
71.1,5,10,3149.997,59.62
71.2,5,10,3155.959,59.62
71.3,5,10,3161.921,59.62
71.4,5,10,3167.883,59.62
71.5,5,10,3173.845,59.61
71.6,5,10,3179.806,59.62
71.7,5,10,3185.768,59.62
71.8,5,10,3191.73,59.62
71.9,5,10,3197.692,59.62
72,5,10,3203.654,59.62
72.1,5,10,3209.616,59.62
72.2,5,10,3215.578,59.62
72.3,5,10,3221.54,59.62
72.4,5,10,3227.502,59.61
72.5,5,10,3233.463,59.62
72.6,5,10,3239.425,59.62
72.7,5,10,3245.387,59.62
72.8,5,10,3251.349,59.62
72.9,5,10,3257.311,59.62
73,5,10,3263.273,59.62
73.1,5,10,3269.235,59.62
73.2,5,10,3275.197,59.62
73.3,5,10,3281.159,59.62
73.4,5,10,3287.121,59.62
73.5,5,10,3293.083,59.61
73.6,5,10,3299.044,59.62
73.7,5,10,3305.006,59.62
73.8,5,10,3310.968,59.62
73.9,5,10,3316.93,59.62
74,5,10,3322.892,59.62
74.1,5,10,3328.854,59.62
74.2,5,10,3334.816,59.62
74.3,5,10,3340.778,59.62
74.4,5,10,3346.74,
