Time(s),Input(v),Output(v),Output(m),Velocity
8.5,2.397,0,0,0
8.6,2.397,0,0,0
8.7,2.407,0,0,0
8.8,2.407,0,0,0
8.9,2.407,0,0,0
9,2.397,0,0,0
9.1,2.407,0,0,0
9.2,2.397,0,0,0
9.3,2.397,0,0,0
9.4,2.407,0,0,0
9.5,2.397,0,0,0
9.6,2.397,0,0,0
9.7,2.397,0,0,0
9.8,2.397,0,0,0
9.9,2.397,0,0,0
10,2.397,0,0,0
10.1,2.397,0,0,0
10.2,2.397,0,0,0
10.3,2.397,0,0,0
10.4,2.397,0,0,0
10.5,2.397,0,0,0
10.6,2.397,0,0,0
10.7,2.397,0,0,0
10.8,2.397,0,0,0
10.9,2.397,0,0,0
11,2.407,0,0,0
11.1,2.397,0,0,0
11.2,2.397,0,0,0
11.3,2.407,0,0,0
11.4,2.407,0,0,0
11.5,2.397,0,0,0
11.6,2.397,0,0,0
11.7,2.407,0,0,0
11.8,2.397,0,0,0
11.9,2.397,0,0,0
12,2.397,0,0,0
12.1,2.407,0,0,0
12.2,2.397,0,0,0
12.3,2.397,0,0,0
12.4,2.397,0,0,0
12.5,2.397,0,0,0
12.6,2.397,0,0,0
12.7,2.397,0,0,0
12.8,3.065,0,0,0.25
12.9,5,0.016,0.025,1.32
13,5,0.101,0.157,2.39
13.1,5,0.254,0.396,3.43
13.2,5,0.473,0.739,4.46
13.3,5,0.758,1.185,5.46
13.4,5,1.108,1.731,6.45
13.5,5,1.521,2.376,7.42
13.6,5,1.995,3.118,8.37
13.7,5,2.531,3.955,9.3
13.8,5,3.126,4.885,10.22
13.9,5,3.78,5.907,11.12
14,5,4.492,7.019,12
14.1,5,5.26,8.219,12.87
14.2,5,6.084,9.506,13.72
14.3,5,6.962,10.878,14.56
14.4,5,7.894,12.334,15.38
14.5,5,8.878,13.872,16.18
14.6,5,9.914,15.49,16.98
14.7,5,10,17.188,17.76
14.8,5,10,18.964,18.51
14.9,5,10,20.815,19.27
15,5,10,22.742,20
15.1,5,10,24.742,20.72
15.2,5,10,26.814,21.44
15.3,5,10,28.958,22.12
15.4,5,10,31.17,22.81
15.5,5,10,33.451,23.49
15.6,5,10,35.8,24.14
15.7,5,10,38.214,24.78
15.8,5,10,40.692,25.42
15.9,5,10,43.234,26.05
16,5,10,45.839,26.65
16.1,5,10,48.504,27.26
16.2,5,10,51.23,27.85
16.3,5,10,54.015,28.42
16.4,5,10,56.857,29
16.5,5,10,59.757,29.55
16.6,5,10,62.712,30.1
16.7,5,10,65.722,30.63
16.8,5,10,68.785,31.17
16.9,5,10,71.902,31.68
17,5,10,75.07,32.2
17.1,5,10,78.29,32.69
17.2,5,10,81.559,33.18
17.3,5,10,84.877,33.67
17.4,5,10,88.244,34.14
17.5,5,10,91.658,34.6
17.6,5,10,95.118,35.06
17.7,5,10,98.624,35.5
17.8,5,10,102.174,35.95
17.9,5,10,105.769,36.38
18,5,10,109.407,36.8
18.1,5,10,113.087,37.21
18.2,5,10,116.808,37.63
18.3,5,10,120.571,38.02
18.4,5,10,124.373,38.42
18.5,5,10,128.215,38.8
18.6,5,10,132.095,39.19
18.7,5,10,136.014,39.56
18.8,5,10,139.97,39.92
18.9,5,10,143.962,40.28
19,5,10,147.99,40.63
19.1,5,10,152.053,40.98
19.2,5,10,156.151,41.32
19.3,5,10,160.283,41.65
19.4,5,10,164.448,41.98
19.5,5,10,168.646,42.3
19.6,5,10,172.876,42.62
19.7,5,10,177.138,42.93
19.8,5,10,181.431,43.23
19.9,5,10,185.754,43.53
20,5,10,190.107,43.82
20.1,5,10,194.489,44.11
20.2,5,10,198.9,44.39
20.3,5,10,203.339,44.67
20.4,5,10,207.806,44.95
20.5,5,10,212.301,45.21
20.6,5,10,216.822,45.47
20.7,5,10,221.369,45.73
20.8,5,10,225.942,45.98
20.9,5,10,230.54,46.24
21,5,10,235.164,46.47
21.1,5,10,239.811,46.72
21.2,5,10,244.483,46.95
21.3,5,10,249.178,47.18
21.4,5,10,253.896,47.41
21.5,5,10,258.637,47.63
21.6,5,10,263.4,47.85
21.7,5,10,268.185,48.06
21.8,5,10,272.991,48.28
21.9,5,10,277.819,48.48
22,5,10,282.667,48.68
22.1,5,10,287.535,48.88
22.2,5,10,292.423,49.08
22.3,5,10,297.331,49.27
22.4,5,10,302.258,49.46
22.5,5,10,307.204,49.65
22.6,5,10,312.169,49.82
22.7,5,10,317.151,50.01
22.8,5,10,322.152,50.18
22.9,5,10,327.17,50.35
23,5,10,332.205,50.52
23.1,5,10,337.257,50.69
23.2,5,10,342.326,50.85
23.3,5,10,347.411,51.01
23.4,5,10,352.512,51.16
23.5,5,10,357.628,51.32
23.6,5,10,362.76,51.48
23.7,5,10,367.908,51.62
23.8,5,10,373.07,51.76
23.9,5,10,378.246,51.91
24,5,10,383.437,52.05
24.1,5,10,388.642,52.19
24.2,5,10,393.861,52.32
24.3,5,10,399.093,52.45
24.4,5,10,404.338,52.59
24.5,5,10,409.597,52.72
24.6,5,10,414.869,52.84
24.7,5,10,420.153,52.96
24.8,5,10,425.449,53.08
24.9,5,10,430.757,53.21
25,5,10,436.078,53.32
25.1,5,10,441.41,53.43
25.2,5,10,446.753,53.55
25.3,5,10,452.108,53.66
25.4,5,10,457.474,53.77
25.5,5,10,462.851,53.87
25.6,5,10,468.238,53.98
25.7,5,10,473.636,54.09
25.8,5,10,479.045,54.18
25.9,5,10,484.463,54.28
26,5,10,489.891,54.38
26.1,5,10,495.329,54.47
26.2,5,10,500.776,54.57
26.3,5,10,506.233,54.66
26.4,5,10,511.699,54.75
26.5,5,10,517.174,54.84
26.6,5,10,522.658,54.93
26.7,5,10,528.151,55.01
26.8,5,10,533.652,55.1
26.9,5,10,539.162,55.18
27,5,10,544.68,55.25
27.1,5,10,550.205,55.34
27.2,5,10,555.739,55.42
27.3,5,10,561.281,55.49
27.4,5,10,566.83,55.57
27.5,5,10,572.387,55.64
27.6,5,10,577.951,55.72
27.7,5,10,583.523,55.79
27.8,5,10,589.102,55.85
27.9,5,10,594.687,55.93
28,5,10,600.28,55.99
28.1,5,10,605.879,56.06
28.2,5,10,611.485,56.12
28.3,5,10,617.097,56.19
28.4,5,10,622.716,56.24
28.5,5,10,628.34,56.32
28.6,5,10,633.972,56.37
28.7,5,10,639.609,56.43
28.8,5,10,645.252,56.48
28.9,5,10,650.9,56.55
29,5,10,656.555,56.6
29.1,5,10,662.215,56.66
29.2,5,10,667.881,56.71
29.3,5,10,673.552,56.76
29.4,5,10,679.228,56.82
29.5,5,10,684.91,56.86
29.6,5,10,690.596,56.92
29.7,5,10,696.288,56.97
29.8,5,10,701.985,57.01
29.9,5,10,707.686,57.06
30,5,10,713.392,57.11
30.1,5,10,719.103,57.15
30.2,5,10,724.818,57.2
30.3,5,10,730.538,57.25
30.4,5,10,736.263,57.28
30.5,5,10,741.991,57.33
30.6,5,10,747.724,57.37
30.7,5,10,753.461,57.41
30.8,5,10,759.202,57.46
30.9,5,10,764.948,57.49
31,5,10,770.697,57.53
31.1,5,10,776.45,57.57
31.2,5,10,782.207,57.6
31.3,5,10,787.967,57.64
31.4,5,10,793.731,57.68
31.5,5,10,799.499,57.72
31.6,5,10,805.271,57.75
31.7,5,10,811.046,57.78
31.8,5,10,816.824,57.81
31.9,5,10,822.605,57.85
32,5,10,828.39,57.88
32.1,5,10,834.178,57.92
32.2,5,10,839.97,57.94
32.3,5,10,845.764,57.98
32.4,5,10,851.562,58
32.5,5,10,857.362,58.03
32.6,5,10,863.165,58.07
32.7,5,10,868.972,58.09
32.8,5,10,874.781,58.12
32.9,5,10,880.593,58.14
33,5,10,886.407,58.18
33.1,5,10,892.225,58.2
33.2,5,10,898.045,58.22
33.3,5,10,903.867,58.25
33.4,5,10,909.692,58.28
33.5,5,10,915.52,58.3
33.6,5,10,921.35,58.32
33.7,5,10,927.182,58.35
33.8,5,10,933.017,58.37
33.9,5,10,938.854,58.4
34,5,10,944.694,58.41
34.1,5,10,950.535,58.44
34.2,5,10,956.379,58.46
34.3,5,10,962.225,58.48
34.4,5,10,968.073,58.5
34.5,5,10,973.923,58.53
34.6,5,10,979.776,58.54
34.7,5,10,985.63,58.56
34.8,5,10,991.486,58.58
34.9,5,10,997.344,58.6
35,5,10,1003.204,58.62
35.1,5,10,1009.066,58.64
35.2,5,10,1014.93,58.65
35.3,5,10,1020.795,58.67
35.4,5,10,1026.662,58.69
35.5,5,10,1032.531,58.71
35.6,5,10,1038.402,58.72
35.7,5,10,1044.274,58.74
35.8,5,10,1050.148,58.76
35.9,5,10,1056.024,58.77
36,5,10,1061.901,58.79
36.1,5,10,1067.78,58.8
36.2,5,10,1073.66,58.81
36.3,5,10,1079.541,58.84
36.4,5,10,1085.425,58.84
36.5,5,10,1091.309,58.86
36.6,5,10,1097.195,58.88
36.7,5,10,1103.083,58.88
36.8,5,10,1108.971,58.9
36.9,5,10,1114.861,58.92
37,5,10,1120.753,58.92
37.1,5,10,1126.645,58.94
37.2,5,10,1132.539,58.96
37.3,5,10,1138.435,58.96
37.4,5,10,1144.331,58.98
37.5,5,10,1150.229,58.98
37.6,5,10,1156.127,59
37.7,5,10,1162.027,59.01
37.8,5,10,1167.928,59.02
37.9,5,10,1173.83,59.04
38,5,10,1179.734,59.04
38.1,5,10,1185.638,59.05
38.2,5,10,1191.543,59.07
38.3,5,10,1197.45,59.07
38.4,5,10,1203.357,59.09
38.5,5,10,1209.266,59.09
38.6,5,10,1215.175,59.1
38.7,5,10,1221.085,59.12
38.8,5,10,1226.997,59.12
38.9,5,10,1232.909,59.13
39,5,10,1238.822,59.14
39.1,5,10,1244.736,59.15
39.2,5,10,1250.651,59.16
39.3,5,10,1256.567,59.16
39.4,5,10,1262.483,59.18
39.5,5,10,1268.401,59.18
39.6,5,10,1274.319,59.19
39.7,5,10,1280.238,59.2
39.8,5,10,1286.158,59.2
39.9,5,10,1292.078,59.21
40,5,10,1297.999,59.23
40.1,5,10,1303.922,59.22
40.2,5,10,1309.844,59.24
40.3,5,10,1315.768,59.24
40.4,5,10,1321.692,59.25
40.5,5,10,1327.617,59.26
40.6,5,10,1333.543,59.26
40.7,5,10,1339.469,59.27
40.8,5,10,1345.396,59.27
40.9,5,10,1351.323,59.28
41,5,10,1357.251,59.29
41.1,5,10,1363.18,59.29
41.2,5,10,1369.109,59.3
41.3,5,10,1375.039,59.31
41.4,5,10,1380.97,59.31
41.5,5,10,1386.901,59.32
41.6,5,10,1392.833,59.32
41.7,5,10,1398.765,59.33
41.8,5,10,1404.698,59.33
41.9,5,10,1410.631,59.34
42,5,10,1416.565,59.34
42.1,5,10,1422.499,59.35
42.2,5,10,1428.434,59.36
42.3,5,10,1434.37,59.35
42.4,5,10,1440.305,59.37
42.5,5,10,1446.242,59.37
42.6,5,10,1452.179,59.37
42.7,5,10,1458.116,59.37
42.8,5,10,1464.053,59.39
42.9,5,10,1469.992,59.38
43,5,10,1475.93,59.39
43.1,5,10,1481.869,59.4
43.2,5,10,1487.809,59.39
43.3,5,10,1493.748,59.41
43.4,5,10,1499.689,59.4
43.5,5,10,1505.629,59.41
43.6,5,10,1511.57,59.42
43.7,5,10,1517.512,59.42
43.8,5,10,1523.454,59.42
43.9,5,10,1529.396,59.42
44,5,10,1535.338,59.43
44.1,5,10,1541.281,59.43
44.2,5,10,1547.224,59.44
44.3,5,10,1553.168,59.44
44.4,5,10,1559.112,59.44
44.5,5,10,1565.056,59.44
44.6,5,10,1571,59.45
44.7,5,10,1576.945,59.45
44.8,5,10,1582.89,59.46
44.9,5,10,1588.836,59.46
45,5,10,1594.782,59.46
45.1,5,10,1600.728,59.46
45.2,5,10,1606.674,59.47
45.3,5,10,1612.621,59.47
45.4,5,10,1618.568,59.47
45.5,5,10,1624.515,59.47
45.6,5,10,1630.462,59.48
45.7,5,10,1636.41,59.48
45.8,5,10,1642.358,59.48
45.9,5,10,1648.306,59.49
46,5,10,1654.255,59.49
46.1,5,10,1660.204,59.49
46.2,5,10,1666.153,59.49
46.3,5,10,1672.102,59.49
46.4,5,10,1678.051,59.5
46.5,5,10,1684.001,59.5
46.6,5,10,1689.951,59.5
46.7,5,10,1695.901,59.5
46.8,5,10,1701.851,59.51
46.9,5,10,1707.802,59.51
47,5,10,1713.753,59.51
47.1,5,10,1719.704,59.51
47.2,5,10,1725.655,59.51
47.3,5,10,1731.606,59.52
47.4,5,10,1737.558,59.52
47.5,5,10,1743.51,59.52
47.6,5,10,1749.462,59.52
47.7,5,10,1755.414,59.52
47.8,5,10,1761.366,59.53
47.9,5,10,1767.319,59.52
48,5,10,1773.271,59.53
48.1,5,10,1779.224,59.53
48.2,5,10,1785.177,59.53
48.3,5,10,1791.13,59.54
48.4,5,10,1797.084,59.53
48.5,5,10,1803.037,59.54
48.6,5,10,1808.991,59.53
48.7,5,10,1814.944,59.54
48.8,5,10,1820.898,59.54
48.9,5,10,1826.852,59.55
49,5,10,1832.807,59.54
49.1,5,10,1838.761,59.55
49.2,5,10,1844.716,59.54
49.3,5,10,1850.67,59.55
49.4,5,10,1856.625,59.55
49.5,5,10,1862.58,59.55
49.6,5,10,1868.535,59.55
49.7,5,10,1874.49,59.55
49.8,5,10,1880.445,59.56
49.9,5,10,1886.401,59.55
50,5,10,1892.356,59.56
50.1,5,10,1898.312,59.56
50.2,5,10,1904.268,59.56
50.3,5,10,1910.224,59.56
50.4,5,10,1916.18,59.56
50.5,5,10,1922.136,59.56
50.6,5,10,1928.092,59.56
50.7,5,10,1934.048,59.57
50.8,5,10,1940.005,59.56
50.9,5,10,1945.961,59.57
51,5,10,1951.918,59.57
51.1,5,10,1957.875,59.56
51.2,5,10,1963.831,59.57
