Time(s),Input(v),Output(v),Output(m),Velocity
14.6,2.407,0,0,
14.7,2.417,0,0,0
14.8,2.417,0,0,0
14.9,2.407,0,0,0
15,2.407,0,0,0
15.1,2.407,0,0,0
15.2,2.407,0,0,0
15.3,2.407,0,0,0
15.4,2.407,0,0,0
15.5,2.407,0,0,0
15.6,2.407,0,0,0
15.7,2.407,0,0,0
15.8,2.407,0,0,0
15.9,2.407,0,0,0
16,2.407,0,0,0
16.1,2.407,0,0,0
16.2,2.407,0,0,0
16.3,2.407,0,0,0
16.4,2.407,0,0,0
16.5,2.407,0,0,0
16.6,2.407,0,0,0
16.7,2.417,0,0,0
16.8,2.407,0,0,0
16.9,2.407,0,0,0
17,2.407,0,0,0
17.1,2.417,0,0,0
17.2,2.692,0,0,0
17.3,5,0.005,0.008,0.08
17.4,5,0.08,0.125,1.17
17.5,5,0.223,0.348,2.23
17.6,5,0.433,0.676,3.28
17.7,5,0.708,1.107,4.31
17.8,5,1.048,1.638,5.31
17.9,5,1.452,2.269,6.31
18,5,1.917,2.996,7.27
18.1,5,2.444,3.819,8.23
18.2,5,3.031,4.735,9.16
18.3,5,3.676,5.744,10.09
18.4,5,4.379,6.842,10.98
18.5,5,5.139,8.03,11.88
18.6,5,5.954,9.304,12.74
18.7,5,6.825,10.663,13.59
18.8,5,7.748,12.107,14.44
18.9,5,8.725,13.633,15.26
19,5,9.753,15.24,16.07
19.1,5,10,16.926,16.86
19.2,5,10,18.69,17.64
19.3,5,10,20.53,18.4
19.4,5,10,22.446,19.16
19.5,5,10,24.435,19.89
19.6,5,10,26.497,20.62
19.7,5,10,28.629,21.32
19.8,5,10,30.832,22.03
19.9,5,10,33.103,22.71
20,5,10,35.441,23.38
20.1,5,10,37.846,24.05
20.2,5,10,40.315,24.69
20.3,5,10,42.847,25.32
20.4,5,10,45.443,25.96
20.5,5,10,48.099,26.56
20.6,5,10,50.816,27.17
20.7,5,10,53.592,27.76
20.8,5,10,56.426,28.34
20.9,5,10,59.317,28.91
21,5,10,62.264,29.47
21.1,5,10,65.266,30.02
21.2,5,10,68.322,30.56
21.3,5,10,71.431,31.09
21.4,5,10,74.591,31.6
21.5,5,10,77.803,32.12
21.6,5,10,81.065,32.62
21.7,5,10,84.376,33.11
21.8,5,10,87.736,33.6
21.9,5,10,91.143,34.07
22,5,10,94.596,34.53
22.1,5,10,98.095,34.99
22.2,5,10,101.639,35.44
22.3,5,10,105.227,35.88
22.4,5,10,108.859,36.32
22.5,5,10,112.532,36.73
22.6,5,10,116.248,37.16
22.7,5,10,120.004,37.56
22.8,5,10,123.801,37.97
22.9,5,10,127.637,38.36
23,5,10,131.512,38.75
23.1,5,10,135.424,39.12
23.2,5,10,139.375,39.51
23.3,5,10,143.361,39.86
23.4,5,10,147.384,40.23
23.5,5,10,151.442,40.58
23.6,5,10,155.535,40.93
23.7,5,10,159.662,41.27
23.8,5,10,163.822,41.6
23.9,5,10,168.016,41.94
24,5,10,172.241,42.25
24.1,5,10,176.498,42.57
24.2,5,10,180.786,42.88
24.3,5,10,185.105,43.19
24.4,5,10,189.453,43.48
24.5,5,10,193.831,43.78
24.6,5,10,198.238,44.07
24.7,5,10,202.673,44.35
24.8,5,10,207.136,44.63
24.9,5,10,211.626,44.9
25,5,10,216.143,45.17
25.1,5,10,220.687,45.44
25.2,5,10,225.256,45.69
25.3,5,10,229.851,45.95
25.4,5,10,234.47,46.19
25.5,5,10,239.114,46.44
25.6,5,10,243.782,46.68
25.7,5,10,248.474,46.92
25.8,5,10,253.189,47.15
25.9,5,10,257.926,47.37
26,5,10,262.686,47.6
26.1,5,10,267.468,47.82
26.2,5,10,272.271,48.03
26.3,5,10,277.095,48.24
26.4,5,10,281.94,48.45
26.5,5,10,286.806,48.66
26.6,5,10,291.691,48.85
26.7,5,10,296.596,49.05
26.8,5,10,301.52,49.24
26.9,5,10,306.464,49.44
27,5,10,311.425,49.61
27.1,5,10,316.405,49.8
27.2,5,10,321.403,49.98
27.3,5,10,326.419,50.16
27.4,5,10,331.451,50.32
27.5,5,10,336.501,50.5
27.6,5,10,341.567,50.66
27.7,5,10,346.65,50.83
27.8,5,10,351.748,50.98
27.9,5,10,356.863,51.15
28,5,10,361.992,51.29
28.1,5,10,367.137,51.45
28.2,5,10,372.297,51.6
28.3,5,10,377.471,51.74
